rho*,Z,beta_mu_TI
0.1,0.889815,-0.11018499999999998
0.2,0.8099000000000001,-0.2927174999999999
0.3,0.8109266666666667,-0.3707280555555555
0.4,0.8653087499999998,-0.3646946006944446
0.5,1.0681,-0.1719297569444444
0.6,1.4563916666666668,0.2612045486111112
0.7,2.156914285714286,1.0823965412414969
0.8,3.29715625,2.448847505846089
0.85,4.076864705882353,3.390838115302187
0.9,5.035755555555556,4.552329306724291
