# T rho P Z beta_mu_total U_per_particle
1.12 0.09 0.06453564426 0.640234566 -3.108928716 -0.7829462229
1.12 0.09 0.06433996667 0.6382933201 -3.110244251 -0.7884149203
1.12 0.09 0.0642222698 0.6371256925 -3.11021876 -0.7879525997
1.12 0.09 0.06420389254 0.6369433784 -3.110640655 -0.784035299
1.12 0.09 0.0642642244 0.6375419087 -3.110393065 -0.7827290983
1.12 0.09 0.06443756273 0.6392615351 -3.108692857 -0.7835160116
1.12 0.09 0.06438602268 0.638750225 -3.109970072 -0.7862844808
1.12 0.09 0.06449879292 0.6398689774 -3.109310608 -0.7820958822
1.12 0.09 0.06426523421 0.6375519267 -3.109569373 -0.7828943715
1.12 0.09 0.06438091466 0.6386995502 -3.109920621 -0.7875199744
1.12 0.09 0.06412475508 0.6361582845 -3.109652941 -0.7864192251
1.12 0.09 0.06412003816 0.6361114897 -3.11021667 -0.7851245412
1.12 0.09 0.06411553399 0.6360668055 -3.109205583 -0.7866681417
1.12 0.09 0.0641663924 0.6365713532 -3.110813814 -0.7823376765
1.12 0.09 0.06434842796 0.6383772615 -3.10999449 -0.7857567335
1.12 0.09 0.06416390304 0.6365466571 -3.109056158 -0.7831154899
1.12 0.09 0.06448465918 0.6397287617 -3.110641243 -0.7824404871
1.12 0.09 0.06426389607 0.6375386515 -3.110700064 -0.7867528488
1.12 0.09 0.06431180196 0.6380139083 -3.110816955 -0.783354471
1.12 0.09 0.06410988361 0.6360107501 -3.110494667 -0.7851526992
1.12 0.09 0.06447580158 0.6396408887 -3.108646122 -0.7843671664
1.12 0.09 0.06445713497 0.6394557041 -3.110051172 -0.7848310508
1.12 0.09 0.06414709491 0.6363799098 -3.111818259 -0.7848449389
1.12 0.09 0.06420000753 0.6369048366 -3.109070344 -0.7855095918
1.12 0.09 0.06462165665 0.6410878636 -3.110874257 -0.7846796355
