# T rho P Z beta_mu_total U_per_particle
1.12 0.07 0.05596694971 0.7138641545 -3.212872484 -0.608646815
1.12 0.07 0.05585614331 0.7124508075 -3.213204139 -0.6095072277
1.12 0.07 0.05571667321 0.7106718521 -3.213438522 -0.6103612242
1.12 0.07 0.05592979131 0.7133901953 -3.21250391 -0.607306566
1.12 0.07 0.0558756849 0.7127000624 -3.211249216 -0.6080816227
1.12 0.07 0.05599553817 0.7142288032 -3.21242103 -0.6106009021
1.12 0.07 0.05595219005 0.7136758935 -3.212854251 -0.6085181817
1.12 0.07 0.05602550936 0.7146110888 -3.212126905 -0.6094089111
1.12 0.07 0.05593687717 0.7134805761 -3.211832309 -0.6082110357
1.12 0.07 0.05619329342 0.7167511915 -3.212430773 -0.608357104
1.12 0.07 0.05581190532 0.7118865475 -3.211635904 -0.6073458369
1.12 0.07 0.05609342176 0.7154773184 -3.211935146 -0.6081670372
1.12 0.07 0.05611277933 0.7157242261 -3.212257074 -0.6097954021
1.12 0.07 0.05596949152 0.7138965755 -3.21200335 -0.6076493406
1.12 0.07 0.05585388975 0.7124220631 -3.212355519 -0.6084877679
1.12 0.07 0.05586879188 0.7126121413 -3.211521012 -0.6094888233
1.12 0.07 0.05584541888 0.7123140164 -3.213678806 -0.6105935387
1.12 0.07 0.05577190161 0.711376296 -3.21303502 -0.6094538043
1.12 0.07 0.05596199255 0.7138009254 -3.213048055 -0.6116910252
1.12 0.07 0.05598153109 0.7140501414 -3.213446576 -0.6122470775
1.12 0.07 0.05579233107 0.7116368759 -3.212687592 -0.6123691116
1.12 0.07 0.05593270705 0.7134273859 -3.212269855 -0.6064531726
1.12 0.07 0.05606304692 0.7150898842 -3.211565871 -0.6100470217
1.12 0.07 0.05582598118 0.7120660865 -3.212355632 -0.6101653358
1.12 0.07 0.05601499795 0.7144770147 -3.21203858 -0.6105882257
