# T rho P Z beta_mu_total U_per_particle
1.12 0.18 0.07068289448 0.3506095956 -3.017911304 -1.555509978
1.12 0.18 0.07091386029 0.3517552594 -3.018388028 -1.551686859
1.12 0.18 0.07150171534 0.354671207 -3.017595835 -1.557300563
1.12 0.18 0.07155633193 0.3549421227 -3.01819338 -1.548947771
1.12 0.18 0.07035315129 0.3489739647 -3.019545159 -1.552191842
1.12 0.18 0.0707656188 0.3510199345 -3.019542264 -1.549912608
1.12 0.18 0.07182516218 0.3562756061 -3.015392518 -1.561435017
1.12 0.18 0.07132817492 0.3538103915 -3.016803462 -1.551125597
1.12 0.18 0.0718048302 0.356174753 -3.018290507 -1.569556115
1.12 0.18 0.07119278727 0.3531388257 -3.017561941 -1.542486883
1.12 0.18 0.07088081027 0.3515913208 -3.017051095 -1.551877898
1.12 0.18 0.07182965474 0.3562978906 -3.01778126 -1.546295959
1.12 0.18 0.07137268474 0.3540311743 -3.019622037 -1.545731366
1.12 0.18 0.0707517796 0.3509512877 -3.01360863 -1.546286059
1.12 0.18 0.07173207406 0.3558138594 -3.017148098 -1.548056107
1.12 0.18 0.07055043856 0.3499525722 -3.017587804 -1.549475689
1.12 0.18 0.07124129849 0.3533794568 -3.016255376 -1.559261753
1.12 0.18 0.07095128666 0.3519409061 -3.016757465 -1.553723753
1.12 0.18 0.07121493796 0.3532487002 -3.0151483 -1.546131516
1.12 0.18 0.07015440305 0.3479881103 -3.014228084 -1.546001416
1.12 0.18 0.0706914678 0.350652122 -3.016210684 -1.54486917
1.12 0.18 0.07107569986 0.352558035 -3.016963704 -1.54971075
1.12 0.18 0.07159687082 0.3551432084 -3.020726451 -1.547989049
1.12 0.18 0.07102272848 0.3522952802 -3.015152299 -1.552087269
1.12 0.18 0.07048943742 0.3496499872 -3.01792437 -1.548137465
