# T rho P Z beta_mu_total U_per_particle
1.12 0.04 0.0372903264 0.8323733572 -3.541189665 -0.3468479244
1.12 0.04 0.03722229049 0.8308546983 -3.541143065 -0.3492441335
1.12 0.04 0.03730270589 0.832649685 -3.54112377 -0.3481068384
1.12 0.04 0.03728750094 0.8323102889 -3.540540682 -0.3478777339
1.12 0.04 0.03727129908 0.8319486403 -3.540640181 -0.3474139147
1.12 0.04 0.03729792508 0.8325429706 -3.540974564 -0.3471177741
1.12 0.04 0.03725850193 0.8316629895 -3.540587771 -0.3486031561
1.12 0.04 0.03731846544 0.8330014608 -3.540888726 -0.3465003164
1.12 0.04 0.03728022781 0.8321479421 -3.54090806 -0.346717787
1.12 0.04 0.03721793118 0.8307573924 -3.540987269 -0.3481522739
1.12 0.04 0.03721857454 0.8307717532 -3.541368387 -0.3481723023
1.12 0.04 0.03729186006 0.8324075907 -3.540452125 -0.3475501284
1.12 0.04 0.03718358809 0.8299908055 -3.540924812 -0.3480559489
1.12 0.04 0.03723453582 0.8311280317 -3.540832716 -0.3465497494
1.12 0.04 0.03716497152 0.8295752572 -3.540636011 -0.3477133759
1.12 0.04 0.03721626812 0.8307202705 -3.541012279 -0.3476237147
1.12 0.04 0.03716339919 0.8295401606 -3.54099497 -0.3479146415
1.12 0.04 0.0372776471 0.8320903372 -3.541144045 -0.3478442677
1.12 0.04 0.03729849399 0.8325556693 -3.540912951 -0.3471337694
1.12 0.04 0.03731967053 0.83302836 -3.540440581 -0.3485313259
1.12 0.04 0.03727092915 0.8319403828 -3.540603261 -0.3466265204
1.12 0.04 0.03729608324 0.8325018581 -3.540622886 -0.3477142167
1.12 0.04 0.03726580378 0.8318259771 -3.540377037 -0.3494820733
1.12 0.04 0.03722082563 0.8308220007 -3.540781532 -0.3480008833
1.12 0.04 0.03727011304 0.8319221662 -3.541001758 -0.3472465799
