# T rho P Z beta_mu_total U_per_particle
1.12 0.05 0.0441333 0.788094 -3.39602 -0.435015
1.12 0.05 0.0443123 0.79129 -3.3973 -0.432239
1.12 0.05 0.044347 0.791911 -3.39645 -0.432483
1.12 0.05 0.0443877 0.792638 -3.39492 -0.43468
1.12 0.05 0.0443592 0.792128 -3.39647 -0.436939
1.12 0.05 0.0442357 0.789923 -3.39615 -0.435886
1.12 0.05 0.0444353 0.793487 -3.39658 -0.433233
1.12 0.05 0.0442596 0.790349 -3.39445 -0.435613
1.12 0.05 0.0441315 0.788062 -3.39536 -0.432473
1.12 0.05 0.0442642 0.790431 -3.3948 -0.435163
1.12 0.05 0.0442844 0.790793 -3.39593 -0.434398
1.12 0.05 0.0442818 0.790747 -3.39656 -0.435409
1.12 0.05 0.0443364 0.791721 -3.3968 -0.431701
1.12 0.05 0.0444426 0.793617 -3.39633 -0.437652
1.12 0.05 0.0442421 0.790038 -3.39432 -0.436363
1.12 0.05 0.0442326 0.789868 -3.39656 -0.436101
1.12 0.05 0.0442107 0.789477 -3.3955 -0.435199
1.12 0.05 0.0442758 0.790639 -3.39493 -0.434156
1.12 0.05 0.044229 0.789804 -3.3952 -0.437361
1.12 0.05 0.0444318 0.793425 -3.39533 -0.434696
