# T rho P Z beta_mu_total U_per_particle
1.12 0.02 0.0204941 0.914917 -4.0747 -0.173262
1.12 0.02 0.0204696 0.913823 -4.07469 -0.173766
1.12 0.02 0.0205114 0.915686 -4.07473 -0.173516
1.12 0.02 0.0204637 0.913558 -4.07587 -0.173306
1.12 0.02 0.0205003 0.915191 -4.07463 -0.173344
1.12 0.02 0.0204696 0.913819 -4.07503 -0.173137
1.12 0.02 0.0204325 0.912163 -4.07465 -0.174851
1.12 0.02 0.0204694 0.913814 -4.07428 -0.173827
1.12 0.02 0.0204283 0.911977 -4.07426 -0.174769
1.12 0.02 0.0204561 0.913218 -4.0752 -0.172753
1.12 0.02 0.0205157 0.915879 -4.07468 -0.173635
1.12 0.02 0.0204791 0.914243 -4.07497 -0.173141
1.12 0.02 0.0204571 0.913263 -4.07459 -0.174691
1.12 0.02 0.020543 0.9171 -4.07436 -0.172627
1.12 0.02 0.0204903 0.914744 -4.07451 -0.173124
1.12 0.02 0.0204782 0.914203 -4.0751 -0.174256
1.12 0.02 0.0204862 0.914564 -4.0746 -0.174022
1.12 0.02 0.0204329 0.912184 -4.07499 -0.174014
1.12 0.02 0.0204383 0.912423 -4.07465 -0.174302
1.12 0.02 0.0204374 0.912382 -4.0745 -0.173743
