# T rho P Z beta_mu_total U_per_particle
1.12 0.2 0.0681139 0.30408 -3.0244 -1.69926
1.12 0.2 0.0678592 0.302943 -3.02583 -1.72072
1.12 0.2 0.0676186 0.301869 -3.02792 -1.70116
1.12 0.2 0.0688274 0.307265 -3.02334 -1.70973
1.12 0.2 0.0673786 0.300797 -3.02685 -1.70897
1.12 0.2 0.0674807 0.301253 -3.03014 -1.69542
1.12 0.2 0.0669342 0.298813 -3.03105 -1.71364
1.12 0.2 0.0685219 0.305901 -3.02758 -1.69573
1.12 0.2 0.0668433 0.298407 -3.02595 -1.71841
1.12 0.2 0.0665558 0.297124 -3.02602 -1.70257
1.12 0.2 0.0672563 0.300251 -3.03209 -1.70724
1.12 0.2 0.066994 0.29908 -3.03315 -1.71172
1.12 0.2 0.067416 0.300964 -3.02583 -1.70107
1.12 0.2 0.0677309 0.30237 -3.02773 -1.69763
1.12 0.2 0.066814 0.298277 -3.02865 -1.69387
1.12 0.2 0.0666036 0.297338 -3.02986 -1.69366
1.12 0.2 0.0678471 0.302889 -3.03217 -1.69777
1.12 0.2 0.0677278 0.302356 -3.02455 -1.69341
1.12 0.2 0.0674961 0.301322 -3.02322 -1.70337
1.12 0.2 0.0669275 0.298784 -3.03313 -1.71009
