# T rho P Z beta_mu_total U_per_particle
1.12 0.08 0.0606235 0.676601 -3.15304 -0.696695
1.12 0.08 0.0604438 0.674596 -3.15324 -0.695658
1.12 0.08 0.060783 0.678382 -3.15372 -0.695673
1.12 0.08 0.0605578 0.675868 -3.15565 -0.696169
1.12 0.08 0.0601788 0.671639 -3.15577 -0.701809
1.12 0.08 0.0607707 0.678244 -3.15369 -0.69674
1.12 0.08 0.0603221 0.673238 -3.15194 -0.69893
1.12 0.08 0.0609491 0.680235 -3.15388 -0.69274
1.12 0.08 0.0603247 0.673266 -3.15554 -0.699126
1.12 0.08 0.0609724 0.680496 -3.15106 -0.695298
1.12 0.08 0.060571 0.676016 -3.15354 -0.697356
1.12 0.08 0.0603089 0.673091 -3.1523 -0.696741
1.12 0.08 0.0606105 0.676457 -3.15567 -0.706595
1.12 0.08 0.0604804 0.675004 -3.15484 -0.697338
1.12 0.08 0.0604915 0.675129 -3.15343 -0.697102
1.12 0.08 0.0605028 0.675254 -3.15306 -0.693815
1.12 0.08 0.0603295 0.67332 -3.15293 -0.696288
1.12 0.08 0.0606906 0.677351 -3.15284 -0.701601
1.12 0.08 0.0603958 0.67406 -3.15257 -0.699699
1.12 0.08 0.0606706 0.677127 -3.15314 -0.696559
