# T rho P Z beta_mu_total U_per_particle
1.12 0.07 0.0556955 0.710402 -3.21195 -0.612022
1.12 0.07 0.0557364 0.710923 -3.21214 -0.609303
1.12 0.07 0.0557165 0.710669 -3.21404 -0.612479
1.12 0.07 0.0559664 0.713857 -3.21306 -0.607272
1.12 0.07 0.0559812 0.714046 -3.21291 -0.609779
1.12 0.07 0.0559097 0.713133 -3.21116 -0.610718
1.12 0.07 0.0558491 0.712361 -3.21488 -0.609905
1.12 0.07 0.0560729 0.715215 -3.21314 -0.606819
1.12 0.07 0.0560178 0.714513 -3.21352 -0.608869
1.12 0.07 0.0558291 0.712106 -3.21299 -0.610169
1.12 0.07 0.0556661 0.710027 -3.21239 -0.60949
1.12 0.07 0.0559208 0.713275 -3.21316 -0.608789
1.12 0.07 0.055693 0.71037 -3.21304 -0.609417
1.12 0.07 0.0561561 0.716277 -3.21338 -0.609384
1.12 0.07 0.0559729 0.71394 -3.21277 -0.609528
1.12 0.07 0.0560752 0.715245 -3.20934 -0.609982
1.12 0.07 0.055934 0.713444 -3.21096 -0.609593
1.12 0.07 0.0560662 0.71513 -3.21134 -0.608151
1.12 0.07 0.0559004 0.713015 -3.21222 -0.607702
1.12 0.07 0.0558153 0.71193 -3.21301 -0.612834
