# T rho P Z beta_mu_total U_per_particle
1.12 0.03 0.029404 0.87512 -3.74925 -0.261028
1.12 0.03 0.0292798 0.871423 -3.74881 -0.262714
1.12 0.03 0.029347 0.873423 -3.74949 -0.26089
1.12 0.03 0.0293524 0.873584 -3.74963 -0.261239
1.12 0.03 0.029262 0.870892 -3.7482 -0.260635
1.12 0.03 0.0293296 0.872904 -3.7494 -0.261528
1.12 0.03 0.029311 0.87235 -3.74924 -0.259095
1.12 0.03 0.0293201 0.872622 -3.74946 -0.258745
1.12 0.03 0.0292861 0.87161 -3.74903 -0.261389
1.12 0.03 0.0293018 0.872079 -3.74882 -0.261935
1.12 0.03 0.0293082 0.872269 -3.74911 -0.25951
1.12 0.03 0.0292666 0.871029 -3.75021 -0.261376
1.12 0.03 0.0293322 0.872982 -3.74861 -0.261098
1.12 0.03 0.0293877 0.874633 -3.74869 -0.257826
1.12 0.03 0.0293546 0.87365 -3.74979 -0.260403
1.12 0.03 0.0292575 0.870758 -3.7491 -0.259335
1.12 0.03 0.029272 0.871191 -3.74895 -0.259979
1.12 0.03 0.0292793 0.871408 -3.7495 -0.259506
1.12 0.03 0.0293742 0.874233 -3.74946 -0.259623
1.12 0.03 0.0292884 0.871678 -3.74982 -0.261656
