# T rho P Z beta_mu_total U_per_particle
1.12 0.18 0.0706399 0.350397 -3.02098 -1.56934
1.12 0.18 0.0701028 0.347732 -3.01602 -1.55778
1.12 0.18 0.0713034 0.353688 -3.01709 -1.55235
1.12 0.18 0.0705996 0.350196 -3.01452 -1.53651
1.12 0.18 0.0697564 0.346014 -3.01559 -1.55156
1.12 0.18 0.0703279 0.348849 -3.01493 -1.55566
1.12 0.18 0.0722368 0.358317 -3.01621 -1.5622
1.12 0.18 0.0720696 0.357488 -3.02147 -1.56099
1.12 0.18 0.0711157 0.352757 -3.01673 -1.54814
1.12 0.18 0.0701953 0.348191 -3.01395 -1.55615
1.12 0.18 0.0704306 0.349358 -3.02114 -1.5523
1.12 0.18 0.0717837 0.35607 -3.01883 -1.54851
1.12 0.18 0.0706055 0.350226 -3.02768 -1.55428
1.12 0.18 0.0715597 0.354959 -3.01936 -1.55311
1.12 0.18 0.073887 0.366503 -3.01809 -1.5558
1.12 0.18 0.0715101 0.354713 -3.01641 -1.55367
1.12 0.18 0.0700857 0.347647 -3.01333 -1.55359
1.12 0.18 0.0700323 0.347382 -3.01788 -1.55226
1.12 0.18 0.0717741 0.356022 -3.01818 -1.54856
1.12 0.18 0.0711689 0.35302 -3.02415 -1.55176
