# T rho P Z beta_mu_total U_per_particle
1.12 0.09 0.064953 0.644375 -3.10992 -0.785014
1.12 0.09 0.0642334 0.637236 -3.11187 -0.784033
1.12 0.09 0.0643849 0.638739 -3.11102 -0.786103
1.12 0.09 0.064298 0.637877 -3.11209 -0.780575
1.12 0.09 0.0644196 0.639083 -3.1085 -0.786155
1.12 0.09 0.0650105 0.644945 -3.10838 -0.781304
1.12 0.09 0.0641803 0.636709 -3.11161 -0.785668
1.12 0.09 0.0643828 0.638718 -3.11126 -0.782395
1.12 0.09 0.0643391 0.638285 -3.11273 -0.784781
1.12 0.09 0.0641797 0.636704 -3.10998 -0.78407
1.12 0.09 0.0638788 0.633718 -3.1103 -0.78891
1.12 0.09 0.0647984 0.642842 -3.10937 -0.778481
1.12 0.09 0.0641064 0.635976 -3.10891 -0.785158
1.12 0.09 0.0642769 0.637668 -3.10976 -0.778933
1.12 0.09 0.0641982 0.636887 -3.10972 -0.779366
1.12 0.09 0.0640802 0.635716 -3.10989 -0.781269
1.12 0.09 0.0637443 0.632384 -3.10786 -0.789334
1.12 0.09 0.0643393 0.638286 -3.10906 -0.780441
1.12 0.09 0.064089 0.635804 -3.11057 -0.787291
1.12 0.09 0.0643301 0.638195 -3.10968 -0.788637
