# T rho P Z beta_mu_total U_per_particle
1.12 0.14 0.0731843 0.466737 -3.02295 -1.22591
1.12 0.14 0.0739627 0.471701 -3.01733 -1.21715
1.12 0.14 0.0740569 0.472302 -3.01904 -1.21434
1.12 0.14 0.0740219 0.472079 -3.01809 -1.20973
1.12 0.14 0.0735388 0.468998 -3.01839 -1.21288
1.12 0.14 0.0737583 0.470398 -3.01675 -1.2181
1.12 0.14 0.0735767 0.469239 -3.02372 -1.22631
1.12 0.14 0.0732314 0.467037 -3.01474 -1.22282
1.12 0.14 0.0732024 0.466852 -3.01609 -1.21533
1.12 0.14 0.0738933 0.471258 -3.01781 -1.21672
1.12 0.14 0.0740818 0.472461 -3.0186 -1.21381
1.12 0.14 0.0735114 0.468823 -3.01745 -1.21883
1.12 0.14 0.0730012 0.465569 -3.01723 -1.22984
1.12 0.14 0.073359 0.467851 -3.01354 -1.22065
1.12 0.14 0.0747867 0.476956 -3.01473 -1.21583
1.12 0.14 0.0735566 0.469111 -3.01435 -1.21171
1.12 0.14 0.074177 0.473068 -3.0178 -1.21959
1.12 0.14 0.0735598 0.469132 -3.01673 -1.22849
1.12 0.14 0.0736735 0.469856 -3.01353 -1.21182
1.12 0.14 0.0729303 0.465117 -3.01472 -1.21679
