# T rho P Z beta_mu_total U_per_particle
1.12 0.16 0.0738536 0.412129 -3.01074 -1.38456
1.12 0.16 0.0735147 0.410238 -3.00892 -1.37721
1.12 0.16 0.072991 0.407316 -3.01234 -1.38255
1.12 0.16 0.0740847 0.413419 -3.00911 -1.3898
1.12 0.16 0.0732118 0.408548 -3.01097 -1.40363
1.12 0.16 0.0731693 0.408311 -3.0166 -1.40027
1.12 0.16 0.0732679 0.408861 -3.01557 -1.39153
1.12 0.16 0.0732545 0.408786 -3.01333 -1.39062
1.12 0.16 0.0735009 0.410162 -3.01501 -1.39406
1.12 0.16 0.074102 0.413516 -3.01827 -1.39845
1.12 0.16 0.0732083 0.408529 -3.01409 -1.39526
1.12 0.16 0.0731797 0.408369 -3.01397 -1.38956
1.12 0.16 0.07264 0.405357 -3.01147 -1.38912
1.12 0.16 0.0727722 0.406095 -3.01757 -1.3995
1.12 0.16 0.0726697 0.405523 -3.01557 -1.39864
1.12 0.16 0.0734709 0.409994 -3.01805 -1.39123
1.12 0.16 0.0724589 0.404346 -3.01212 -1.399
1.12 0.16 0.072123 0.402472 -3.01268 -1.39781
1.12 0.16 0.0732569 0.4088 -3.01415 -1.38004
1.12 0.16 0.0735143 0.410236 -3.01309 -1.38559
