# T rho P Z beta_mu_total U_per_particle
1.12 0.12 0.072282 0.537812 -3.03645 -1.04705
1.12 0.12 0.0719603 0.535419 -3.03624 -1.04049
1.12 0.12 0.0714906 0.531924 -3.03555 -1.04363
1.12 0.12 0.0717049 0.533518 -3.03706 -1.04872
1.12 0.12 0.0719532 0.535366 -3.03614 -1.04871
1.12 0.12 0.0716287 0.532952 -3.03842 -1.04883
1.12 0.12 0.0717133 0.533581 -3.03454 -1.04495
1.12 0.12 0.0717792 0.534071 -3.03502 -1.04969
1.12 0.12 0.0713751 0.531065 -3.0333 -1.04203
1.12 0.12 0.0714165 0.531373 -3.03401 -1.05071
1.12 0.12 0.0713899 0.531175 -3.03509 -1.04113
1.12 0.12 0.0712043 0.529794 -3.03696 -1.0533
1.12 0.12 0.0713067 0.530556 -3.03733 -1.04233
1.12 0.12 0.0717987 0.534217 -3.03403 -1.03982
1.12 0.12 0.0716659 0.533228 -3.03452 -1.04601
1.12 0.12 0.0716972 0.533461 -3.03251 -1.04293
1.12 0.12 0.0718833 0.534846 -3.03526 -1.04954
1.12 0.12 0.0719777 0.535549 -3.03544 -1.0477
1.12 0.12 0.0713553 0.530918 -3.03794 -1.04804
1.12 0.12 0.071674 0.533288 -3.03785 -1.05133
