# T rho P Z beta_mu_total U_per_particle
1.12 0.04 0.0372149 0.83069 -3.54119 -0.347645
1.12 0.04 0.0373016 0.832625 -3.54019 -0.34544
1.12 0.04 0.0372361 0.831164 -3.5408 -0.348515
1.12 0.04 0.0372566 0.831621 -3.54094 -0.34846
1.12 0.04 0.0372319 0.831069 -3.54102 -0.34841
1.12 0.04 0.0371547 0.829347 -3.54129 -0.351437
1.12 0.04 0.0372538 0.831559 -3.54138 -0.347733
1.12 0.04 0.0372679 0.831872 -3.54095 -0.349703
1.12 0.04 0.0373556 0.83383 -3.54159 -0.348246
1.12 0.04 0.0372953 0.832484 -3.54003 -0.348091
1.12 0.04 0.0373791 0.834354 -3.54095 -0.345754
1.12 0.04 0.0372844 0.832241 -3.54048 -0.348158
1.12 0.04 0.0372533 0.831546 -3.5409 -0.346499
1.12 0.04 0.037268 0.831875 -3.54149 -0.34979
1.12 0.04 0.0373042 0.832682 -3.54097 -0.346695
1.12 0.04 0.0373519 0.833749 -3.54079 -0.347406
1.12 0.04 0.037304 0.832679 -3.53972 -0.3484
1.12 0.04 0.0371463 0.829158 -3.54053 -0.348264
1.12 0.04 0.0372519 0.831515 -3.5414 -0.347648
1.12 0.04 0.0372424 0.831304 -3.54007 -0.348644
