# T rho P Z beta_mu_total U_per_particle
1.12 0.03 0.02930553326 0.8721884899 -3.749131523 -0.260585564
1.12 0.03 0.02939204426 0.874763222 -3.749574737 -0.2602975455
1.12 0.03 0.0293516247 0.8735602588 -3.749545949 -0.2603357025
1.12 0.03 0.02925430685 0.8706638942 -3.749201828 -0.2602190249
1.12 0.03 0.02931463633 0.8724594146 -3.748970315 -0.2607898313
1.12 0.03 0.02928490826 0.8715746505 -3.749602262 -0.2614669681
1.12 0.03 0.02933228594 0.8729847005 -3.749848202 -0.2599849086
1.12 0.03 0.02930078081 0.8720470478 -3.749611491 -0.2606358229
1.12 0.03 0.02935987798 0.8738058921 -3.749613982 -0.2603296716
1.12 0.03 0.02936334635 0.8739091176 -3.748966928 -0.26054038
1.12 0.03 0.02931752771 0.8725454676 -3.749264069 -0.260236856
1.12 0.03 0.02930198033 0.8720827479 -3.749234011 -0.2609165257
1.12 0.03 0.02930702277 0.8722328205 -3.749198665 -0.260907701
1.12 0.03 0.02936976578 0.874100172 -3.749326752 -0.2599071839
1.12 0.03 0.02932603664 0.8727987096 -3.749449293 -0.2599689782
1.12 0.03 0.02935266402 0.873591191 -3.74935473 -0.2605411356
1.12 0.03 0.02936726299 0.8740256842 -3.749243216 -0.2599688759
1.12 0.03 0.02929735019 0.8719449463 -3.749661761 -0.2610658873
1.12 0.03 0.02930646924 0.8722163464 -3.74918934 -0.2610820279
1.12 0.03 0.02926122148 0.870869687 -3.749765688 -0.2614861456
1.12 0.03 0.02933674273 0.8731173432 -3.749576036 -0.2599326768
1.12 0.03 0.02937946565 0.8743888587 -3.749108846 -0.2602344292
1.12 0.03 0.02938562243 0.8745720961 -3.74964703 -0.2599205267
1.12 0.03 0.02932712001 0.8728309526 -3.749425569 -0.2608467637
1.12 0.03 0.02933165293 0.8729658611 -3.749511819 -0.2599207294
