# T rho P Z beta_mu_total U_per_particle
1.12 0.1 0.06742652321 0.6020225287 -3.076365722 -0.8721632099
1.12 0.1 0.06720645085 0.6000575969 -3.077866653 -0.872681483
1.12 0.1 0.06697803363 0.5980181574 -3.078011374 -0.8720953711
1.12 0.1 0.06729723321 0.6008681536 -3.076436961 -0.8692230375
1.12 0.1 0.06750788875 0.6027490067 -3.07665824 -0.8728912173
1.12 0.1 0.06752436855 0.6028961477 -3.077237946 -0.8693950906
1.12 0.1 0.06740995311 0.6018745814 -3.077402523 -0.8731880453
1.12 0.1 0.06740585091 0.6018379545 -3.078626604 -0.8728036587
1.12 0.1 0.06738069785 0.6016133737 -3.074925345 -0.8700003155
1.12 0.1 0.06730210884 0.6009116861 -3.0774407 -0.8725377606
1.12 0.1 0.06731043191 0.6009859992 -3.076561119 -0.8706283994
1.12 0.1 0.06753564986 0.6029968738 -3.076241543 -0.8748354065
1.12 0.1 0.06740840137 0.6018607265 -3.076509652 -0.8750297414
1.12 0.1 0.06721128579 0.600100766 -3.076769861 -0.8710142274
1.12 0.1 0.06740062018 0.6017912516 -3.076187292 -0.8725179824
1.12 0.1 0.0675262256 0.6029127286 -3.07747038 -0.8728893499
1.12 0.1 0.06755642316 0.6031823496 -3.077234384 -0.8691074
1.12 0.1 0.06726921134 0.6006179584 -3.077321691 -0.8736482007
1.12 0.1 0.06736001821 0.601428734 -3.078684843 -0.8739244306
1.12 0.1 0.06740578933 0.6018374047 -3.077755021 -0.8760440116
1.12 0.1 0.0674004043 0.6017893241 -3.076839245 -0.8725570902
1.12 0.1 0.06744133599 0.6021547856 -3.077765601 -0.8717283521
1.12 0.1 0.06732593843 0.6011244503 -3.078038641 -0.8746040111
1.12 0.1 0.06733253351 0.6011833349 -3.076220902 -0.8709040533
1.12 0.1 0.06722452421 0.6002189661 -3.078537152 -0.8786835213
