# T rho P Z beta_mu_total U_per_particle
1.12 0.16 0.07319144999 0.4084344308 -3.01344722 -1.393331524
1.12 0.16 0.07346946063 0.4099858294 -3.014411269 -1.385859423
1.12 0.16 0.07345888269 0.4099268007 -3.013356637 -1.389605594
1.12 0.16 0.07323867901 0.4086979856 -3.014466885 -1.392232836
1.12 0.16 0.07287885536 0.4066900411 -3.010605241 -1.383496789
1.12 0.16 0.073102774 0.407939587 -3.013208162 -1.385418884
1.12 0.16 0.07300894585 0.4074159925 -3.010882862 -1.385880308
1.12 0.16 0.07339277594 0.4095579014 -3.010188242 -1.380930513
1.12 0.16 0.07274275853 0.4059305721 -3.012519732 -1.383028925
1.12 0.16 0.07350620471 0.4101908745 -3.01144157 -1.393137141
1.12 0.16 0.07385836804 0.4121560716 -3.014286276 -1.386548321
1.12 0.16 0.07391801713 0.4124889349 -3.011418627 -1.383132009
1.12 0.16 0.07365121868 0.4110001042 -3.014735083 -1.38993627
1.12 0.16 0.07336967246 0.4094289758 -3.012348303 -1.394226084
1.12 0.16 0.07351167611 0.4102214069 -3.011895652 -1.390267145
1.12 0.16 0.07322701117 0.4086328748 -3.013074145 -1.382422976
1.12 0.16 0.07369008702 0.4112170034 -3.010706494 -1.381252782
1.12 0.16 0.0728968107 0.4067902383 -3.014621795 -1.390227498
1.12 0.16 0.07357168152 0.4105562585 -3.012265904 -1.387772534
1.12 0.16 0.07300050207 0.4073688731 -3.014055892 -1.393125425
1.12 0.16 0.07278151159 0.4061468281 -3.012766071 -1.385097438
1.12 0.16 0.07314202101 0.4081585994 -3.011116627 -1.383904123
1.12 0.16 0.07272517272 0.4058324371 -3.011805602 -1.381185971
1.12 0.16 0.07304226502 0.4076019253 -3.013013243 -1.376085815
1.12 0.16 0.07346276258 0.4099484519 -3.011501865 -1.3892922
