# T rho P Z beta_mu_total U_per_particle
1.12 0.06 0.05051150338 0.7516592765 -3.290827076 -0.5256111794
1.12 0.06 0.05063057296 0.7534311453 -3.291076092 -0.5229883895
1.12 0.06 0.05051450784 0.7517039857 -3.290781812 -0.5223699085
1.12 0.06 0.05062961567 0.7534168998 -3.29044004 -0.522092976
1.12 0.06 0.05060807466 0.7530963491 -3.290482884 -0.5215592626
1.12 0.06 0.05041590043 0.7502366135 -3.291145126 -0.5220939425
1.12 0.06 0.05066177683 0.7538954885 -3.290515092 -0.5201185831
1.12 0.06 0.05052057681 0.7517942977 -3.291564554 -0.5248857049
1.12 0.06 0.05051854864 0.7517641166 -3.291481542 -0.5226567994
1.12 0.06 0.050461473 0.7509147768 -3.290811075 -0.522704878
1.12 0.06 0.05065687307 0.753822516 -3.289861521 -0.5228464895
1.12 0.06 0.05049250597 0.7513765769 -3.291165414 -0.5206115899
1.12 0.06 0.05073664498 0.7550095979 -3.289657651 -0.5195550644
1.12 0.06 0.05053294567 0.7519783582 -3.290884298 -0.5230077684
1.12 0.06 0.0503584748 0.7493820654 -3.290382115 -0.5231832544
1.12 0.06 0.05058396657 0.7527375978 -3.290721844 -0.5231177306
1.12 0.06 0.05049764448 0.7514530429 -3.290587798 -0.522880347
1.12 0.06 0.05062337424 0.7533240214 -3.290664818 -0.5204056245
1.12 0.06 0.0505098048 0.751634 -3.290827884 -0.5232746366
1.12 0.06 0.05048068356 0.7512006483 -3.291309081 -0.5223903715
1.12 0.06 0.05054905418 0.7522180681 -3.290328857 -0.5214728549
1.12 0.06 0.05038866811 0.7498313707 -3.290448096 -0.5233132092
1.12 0.06 0.05057631925 0.7526237983 -3.290875291 -0.5208992816
1.12 0.06 0.05038029683 0.7497067981 -3.29046003 -0.5222139956
1.12 0.06 0.0505899535 0.752826689 -3.290558635 -0.5204182319
