# step   N   rho   U
0 173 0.504373 -510.034
50 173 0.504373 -499.901
100 176 0.51312 -512.296
150 175 0.510204 -505.364
200 173 0.504373 -503.116
250 172 0.501458 -497.469
300 169 0.492711 -479.762
350 169 0.492711 -476.373
400 171 0.498542 -483.92
450 170 0.495627 -479.856
500 173 0.504373 -482.837
550 169 0.492711 -471.417
600 168 0.489796 -470.85
650 170 0.495627 -475.08
700 173 0.504373 -485.432
750 172 0.501458 -482.21
800 172 0.501458 -486.21
850 174 0.507289 -494.544
900 175 0.510204 -490.054
950 173 0.504373 -479.846
1000 172 0.501458 -476.492
1050 169 0.492711 -471.428
1100 171 0.498542 -481.016
1150 171 0.498542 -482.739
1200 172 0.501458 -482.925
1250 172 0.501458 -491.133
1300 173 0.504373 -500.667
1350 172 0.501458 -499.013
1400 172 0.501458 -497.909
1450 173 0.504373 -488.86
1500 172 0.501458 -475.652
1550 175 0.510204 -495.276
1600 176 0.51312 -514.816
1650 176 0.51312 -520.736
1700 176 0.51312 -513.208
1750 174 0.507289 -526.288
1800 177 0.516035 -543.394
1850 176 0.51312 -541.259
1900 174 0.507289 -527.949
1950 174 0.507289 -528.176
2000 176 0.51312 -517.004
2050 175 0.510204 -531.455
2100 175 0.510204 -530.788
2150 175 0.510204 -533.037
2200 175 0.510204 -525.523
2250 173 0.504373 -520.283
2300 172 0.501458 -510.344
2350 170 0.495627 -495.971
2400 170 0.495627 -493.244
2450 172 0.501458 -498.978
2500 173 0.504373 -506.57
2550 174 0.507289 -504.061
2600 173 0.504373 -495.069
2650 172 0.501458 -494.047
2700 174 0.507289 -501.401
2750 174 0.507289 -502.125
2800 175 0.510204 -515.217
2850 174 0.507289 -517.105
2900 174 0.507289 -518.775
2950 174 0.507289 -508.524
3000 171 0.498542 -499.164
3050 173 0.504373 -507.858
3100 175 0.510204 -497.596
3150 175 0.510204 -495.167
3200 172 0.501458 -488.104
3250 175 0.510204 -501.728
3300 173 0.504373 -492.991
3350 176 0.51312 -503.498
3400 177 0.516035 -508.321
3450 178 0.51895 -510.583
3500 177 0.516035 -499.133
3550 177 0.516035 -505.494
3600 175 0.510204 -500.544
3650 174 0.507289 -495.262
3700 171 0.498542 -485.954
3750 168 0.489796 -471.54
3800 168 0.489796 -476.336
3850 169 0.492711 -486.041
3900 171 0.498542 -491.934
3950 172 0.501458 -496.384
4000 172 0.501458 -498.934
4050 172 0.501458 -501.643
4100 175 0.510204 -508.263
4150 176 0.51312 -507.796
4200 176 0.51312 -504.514
4250 178 0.51895 -504.95
4300 180 0.524781 -514.06
4350 180 0.524781 -519.787
4400 180 0.524781 -525.835
4450 180 0.524781 -528.575
4500 177 0.516035 -520.769
4550 176 0.51312 -521.806
4600 174 0.507289 -509.864
4650 174 0.507289 -512.608
4700 175 0.510204 -508.177
4750 174 0.507289 -501.421
4800 176 0.51312 -513.566
4850 175 0.510204 -513.203
4900 171 0.498542 -501.017
4950 171 0.498542 -483.257
5000 170 0.495627 -480.742
5050 171 0.498542 -483.085
5100 167 0.48688 -468.515
5150 168 0.489796 -468.316
5200 167 0.48688 -470.818
5250 168 0.489796 -473.317
5300 170 0.495627 -471.284
5350 168 0.489796 -461.522
5400 167 0.48688 -458.992
5450 169 0.492711 -475.479
5500 169 0.492711 -471.185
5550 168 0.489796 -469.742
5600 167 0.48688 -464.548
5650 167 0.48688 -456.481
5700 165 0.48105 -457.629
5750 163 0.475219 -451.57
5800 163 0.475219 -451.149
5850 160 0.466472 -439.157
5900 161 0.469388 -450.174
5950 162 0.472303 -456.47
6000 165 0.48105 -449.888
6050 163 0.475219 -440.567
6100 162 0.472303 -437.848
6150 161 0.469388 -435.607
6200 161 0.469388 -429.86
6250 160 0.466472 -419.891
6300 157 0.457726 -407.398
6350 158 0.460641 -418.331
6400 158 0.460641 -420.653
6450 157 0.457726 -416.297
6500 158 0.460641 -429.911
6550 157 0.457726 -424.424
6600 164 0.478134 -440.258
6650 164 0.478134 -454.987
6700 166 0.483965 -462.365
6750 166 0.483965 -466.335
6800 165 0.48105 -458.899
6850 166 0.483965 -464.226
6900 168 0.489796 -470.055
6950 170 0.495627 -479.422
7000 172 0.501458 -487.972
7050 175 0.510204 -503.864
7100 172 0.501458 -485.909
7150 172 0.501458 -481.719
7200 173 0.504373 -492.3
7250 171 0.498542 -485.186
7300 172 0.501458 -498.779
7350 171 0.498542 -503.997
7400 171 0.498542 -503.957
7450 171 0.498542 -505.316
7500 171 0.498542 -497.453
7550 170 0.495627 -482.14
7600 170 0.495627 -485.387
7650 167 0.48688 -482.226
7700 169 0.492711 -487.596
7750 171 0.498542 -495.067
7800 170 0.495627 -495.507
7850 170 0.495627 -487.657
7900 168 0.489796 -477.473
7950 168 0.489796 -478.254
8000 167 0.48688 -470.357
8050 166 0.483965 -464.771
8100 165 0.48105 -460.895
8150 165 0.48105 -459.555
8200 166 0.483965 -457.374
8250 168 0.489796 -468.047
8300 166 0.483965 -463.782
8350 166 0.483965 -465.561
8400 167 0.48688 -464.567
8450 166 0.483965 -455.92
8500 165 0.48105 -451.339
8550 166 0.483965 -456.234
8600 164 0.478134 -445.32
8650 164 0.478134 -445.571
8700 164 0.478134 -442.957
8750 161 0.469388 -439.042
8800 160 0.466472 -415.27
8850 158 0.460641 -412.755
8900 157 0.457726 -409.754
8950 159 0.463557 -425.093
9000 160 0.466472 -424.855
9050 157 0.457726 -418.116
9100 158 0.460641 -420.748
9150 160 0.466472 -428.257
9200 160 0.466472 -432.196
9250 161 0.469388 -436.75
9300 165 0.48105 -458.556
9350 166 0.483965 -464.919
9400 167 0.48688 -461.896
9450 167 0.48688 -461.364
9500 170 0.495627 -476.056
9550 167 0.48688 -462.926
9600 167 0.48688 -458.013
9650 168 0.489796 -463.92
9700 169 0.492711 -469.182
9750 166 0.483965 -462.38
9800 169 0.492711 -478.829
9850 169 0.492711 -477.076
