# step   N   rho   U
0 219 0.638484 -903.869
50 219 0.638484 -907.302
100 219 0.638484 -909.27
150 219 0.638484 -906.987
200 220 0.641399 -918.629
250 220 0.641399 -920.253
300 219 0.638484 -911.396
350 219 0.638484 -910.818
400 220 0.641399 -916.226
450 220 0.641399 -921.796
500 220 0.641399 -920.947
550 220 0.641399 -922.576
600 220 0.641399 -924.304
650 220 0.641399 -919.179
700 220 0.641399 -918.249
750 219 0.638484 -906.365
800 219 0.638484 -905.411
850 219 0.638484 -908.321
900 219 0.638484 -906.889
950 219 0.638484 -902.201
1000 218 0.635569 -897.431
1050 218 0.635569 -896.327
1100 218 0.635569 -899.157
1150 216 0.629738 -886.997
1200 215 0.626822 -873.686
1250 215 0.626822 -873.128
1300 216 0.629738 -878.207
1350 215 0.626822 -868.354
1400 215 0.626822 -869.004
1450 215 0.626822 -869.023
1500 215 0.626822 -864.053
1550 216 0.629738 -870.341
1600 216 0.629738 -870.627
1650 216 0.629738 -872.606
1700 217 0.632653 -876.363
1750 218 0.635569 -877.581
1800 218 0.635569 -876.676
1850 218 0.635569 -875.613
1900 219 0.638484 -878.379
1950 217 0.632653 -865.81
2000 217 0.632653 -869.063
2050 218 0.635569 -874.627
2100 217 0.632653 -868.388
2150 216 0.629738 -861.278
2200 217 0.632653 -870.565
2250 217 0.632653 -871.788
2300 218 0.635569 -871.853
2350 218 0.635569 -865.236
2400 217 0.632653 -863.024
2450 217 0.632653 -863.004
2500 217 0.632653 -862.577
2550 216 0.629738 -854.974
2600 216 0.629738 -848.883
2650 215 0.626822 -845.543
2700 213 0.620991 -830.878
2750 213 0.620991 -835.844
2800 213 0.620991 -837.054
2850 213 0.620991 -840.772
2900 213 0.620991 -843.109
2950 213 0.620991 -841.348
3000 211 0.61516 -832.213
3050 211 0.61516 -831.113
3100 211 0.61516 -826.607
3150 210 0.612245 -814.621
3200 211 0.61516 -822.793
3250 212 0.618076 -830.539
3300 214 0.623907 -839.303
3350 213 0.620991 -833.491
3400 212 0.618076 -828.81
3450 212 0.618076 -826.149
3500 213 0.620991 -832.462
3550 213 0.620991 -833.128
3600 213 0.620991 -834.196
3650 210 0.612245 -820.299
3700 209 0.609329 -815.996
3750 209 0.609329 -816.065
3800 209 0.609329 -817.151
3850 208 0.606414 -810.975
3900 208 0.606414 -803.449
3950 208 0.606414 -806.639
4000 207 0.603499 -801.486
4050 207 0.603499 -799.656
4100 208 0.606414 -811.197
4150 208 0.606414 -810.841
4200 209 0.609329 -820.784
4250 210 0.612245 -831.655
4300 208 0.606414 -825.407
4350 208 0.606414 -825.317
4400 207 0.603499 -821.292
4450 207 0.603499 -821.707
4500 208 0.606414 -825.676
4550 208 0.606414 -825.369
4600 209 0.609329 -827.615
4650 208 0.606414 -819.371
4700 207 0.603499 -810.664
4750 208 0.606414 -817.432
4800 208 0.606414 -818.01
4850 209 0.609329 -827.264
4900 209 0.609329 -825.004
4950 208 0.606414 -821.161
5000 207 0.603499 -813.976
5050 207 0.603499 -814.159
5100 207 0.603499 -811.211
5150 206 0.600583 -804.094
5200 206 0.600583 -804.216
5250 205 0.597668 -795.301
5300 205 0.597668 -798.13
5350 205 0.597668 -800.391
5400 204 0.594752 -792.93
5450 204 0.594752 -794.753
5500 204 0.594752 -789.351
5550 205 0.597668 -791.134
5600 205 0.597668 -791.975
5650 205 0.597668 -791.946
5700 205 0.597668 -795.965
5750 205 0.597668 -800.759
5800 205 0.597668 -804.461
5850 205 0.597668 -800.706
5900 205 0.597668 -802.052
5950 205 0.597668 -797.477
6000 205 0.597668 -798.669
6050 206 0.600583 -803.531
6100 206 0.600583 -797.36
6150 207 0.603499 -797.17
6200 206 0.600583 -794.895
6250 207 0.603499 -799.211
6300 207 0.603499 -795.48
6350 208 0.606414 -800.282
6400 211 0.61516 -813.593
6450 212 0.618076 -821.122
6500 213 0.620991 -830.909
6550 211 0.61516 -826.236
6600 210 0.612245 -827.593
6650 210 0.612245 -825.444
6700 211 0.61516 -831.849
6750 211 0.61516 -833.738
6800 210 0.612245 -830.821
6850 210 0.612245 -828.632
6900 210 0.612245 -830.475
6950 209 0.609329 -824.849
7000 209 0.609329 -823.822
7050 209 0.609329 -827.63
7100 208 0.606414 -820.253
7150 208 0.606414 -822.228
7200 206 0.600583 -808.342
7250 207 0.603499 -819.618
7300 207 0.603499 -817.411
7350 207 0.603499 -816.905
7400 207 0.603499 -822.768
7450 208 0.606414 -832.041
7500 208 0.606414 -830.178
7550 208 0.606414 -826.206
7600 208 0.606414 -826.334
7650 208 0.606414 -828.154
7700 207 0.603499 -822.839
7750 207 0.603499 -823.518
7800 207 0.603499 -824.042
7850 208 0.606414 -827.269
7900 208 0.606414 -825.141
7950 207 0.603499 -812.676
8000 207 0.603499 -812.4
8050 207 0.603499 -814.416
8100 207 0.603499 -816.677
8150 207 0.603499 -812.014
