# step   N   rho   U
0 194 0.565598 -609.378
50 193 0.562682 -614.465
100 195 0.568513 -623.966
150 191 0.556851 -619.735
200 191 0.556851 -624.298
250 193 0.562682 -633.462
300 194 0.565598 -637.962
350 195 0.568513 -645.926
400 194 0.565598 -637.838
450 194 0.565598 -643.205
500 193 0.562682 -642.3
550 195 0.568513 -646.154
600 195 0.568513 -646.871
650 193 0.562682 -639.291
700 193 0.562682 -633.951
750 195 0.568513 -640.159
800 194 0.565598 -634.256
850 194 0.565598 -639.282
900 196 0.571429 -647.231
950 195 0.568513 -647.497
1000 195 0.568513 -650.374
1050 196 0.571429 -654.232
1100 194 0.565598 -645.687
1150 191 0.556851 -628.704
1200 194 0.565598 -627.78
1250 193 0.562682 -620.869
1300 193 0.562682 -620.405
1350 193 0.562682 -620.873
1400 193 0.562682 -619.733
1450 190 0.553936 -610.892
1500 191 0.556851 -612.537
1550 191 0.556851 -613.8
1600 192 0.559767 -617.673
1650 192 0.559767 -612.589
1700 189 0.55102 -602.251
1750 186 0.542274 -586.91
1800 187 0.54519 -592.724
1850 186 0.542274 -583.991
1900 184 0.536443 -570.848
1950 188 0.548105 -589.018
2000 188 0.548105 -593.451
2050 189 0.55102 -593.873
2100 189 0.55102 -587.519
2150 189 0.55102 -587.118
2200 190 0.553936 -592.23
2250 189 0.55102 -588.781
2300 188 0.548105 -585.204
2350 187 0.54519 -572.611
2400 186 0.542274 -567.603
2450 187 0.54519 -577.269
2500 186 0.542274 -577.723
2550 187 0.54519 -582.808
2600 188 0.548105 -575.046
2650 188 0.548105 -577.925
2700 189 0.55102 -583.477
2750 188 0.548105 -583.046
2800 187 0.54519 -580.092
2850 185 0.539359 -570.706
2900 181 0.527697 -557.412
2950 183 0.533528 -566.944
3000 184 0.536443 -569.144
3050 182 0.530612 -560.48
3100 183 0.533528 -567.904
3150 184 0.536443 -570.246
3200 183 0.533528 -565.161
3250 182 0.530612 -552.684
3300 182 0.530612 -555.057
3350 184 0.536443 -565.814
3400 184 0.536443 -572.536
3450 185 0.539359 -571.717
3500 186 0.542274 -568.839
3550 189 0.55102 -583.48
3600 191 0.556851 -597.618
3650 192 0.559767 -595.869
