# step   N   rho   U
10700 181 0.527697 -563.177
10750 179 0.521866 -555.399
10800 179 0.521866 -556.126
10850 179 0.521866 -567.967
10900 179 0.521866 -553.107
10950 177 0.516035 -549.314
11000 181 0.527697 -572.723
11050 183 0.533528 -580.84
11100 187 0.54519 -584.023
11150 186 0.542274 -575.956
11200 184 0.536443 -570.968
11250 183 0.533528 -565.5
11300 184 0.536443 -571.812
11350 185 0.539359 -573.317
11400 187 0.54519 -586.275
11450 184 0.536443 -580.94
11500 182 0.530612 -576.504
11550 182 0.530612 -568.648
11600 184 0.536443 -584.787
11650 181 0.527697 -577.425
11700 180 0.524781 -569.12
11750 179 0.521866 -565.705
11800 181 0.527697 -572.233
11850 182 0.530612 -577.382
11900 183 0.533528 -577.015
11950 185 0.539359 -575.586
12000 187 0.54519 -582.901
12050 185 0.539359 -573.118
12100 185 0.539359 -569.85
12150 183 0.533528 -564.321
12200 183 0.533528 -562.216
12250 183 0.533528 -567.832
12300 184 0.536443 -569.752
12350 185 0.539359 -572.87
12400 184 0.536443 -574.007
12450 184 0.536443 -569.451
12500 184 0.536443 -570.635
12550 183 0.533528 -568.714
12600 181 0.527697 -560.16
12650 180 0.524781 -556.095
12700 176 0.51312 -533.419
12750 175 0.510204 -526.994
12800 176 0.51312 -518.682
12850 176 0.51312 -515.57
12900 175 0.510204 -512.171
12950 176 0.51312 -515.753
13000 172 0.501458 -504.716
13050 173 0.504373 -506.757
13100 174 0.507289 -510.142
13150 177 0.516035 -516.002
13200 176 0.51312 -512.27
13250 174 0.507289 -511.438
13300 174 0.507289 -513.167
13350 174 0.507289 -516.494
13400 175 0.510204 -523.853
13450 176 0.51312 -519.582
13500 178 0.51895 -530.827
13550 179 0.521866 -544.635
13600 178 0.51895 -539.61
13650 179 0.521866 -538.797
13700 180 0.524781 -547.926
13750 180 0.524781 -538.99
13800 180 0.524781 -535.97
13850 179 0.521866 -537.663
13900 178 0.51895 -534.139
13950 178 0.51895 -536.3
14000 178 0.51895 -540.933
14050 177 0.516035 -534.189
14100 177 0.516035 -538.85
14150 176 0.51312 -534.243
14200 177 0.516035 -529.646
14250 178 0.51895 -532.804
14300 177 0.516035 -521.309
14350 174 0.507289 -504.977
14400 175 0.510204 -503.933
14450 174 0.507289 -508.722
14500 178 0.51895 -521.412
14550 178 0.51895 -525.213
14600 177 0.516035 -520.938
14650 174 0.507289 -510.54
14700 171 0.498542 -506.559
14750 174 0.507289 -519.338
14800 175 0.510204 -530.331
14850 177 0.516035 -537.583
14900 178 0.51895 -535.669
14950 178 0.51895 -540.59
15000 178 0.51895 -531.791
15050 177 0.516035 -531.173
15100 181 0.527697 -546.573
15150 185 0.539359 -551.96
15200 186 0.542274 -556.57
15250 188 0.548105 -571.272
15300 189 0.55102 -576.194
15350 189 0.55102 -575.626
15400 188 0.548105 -582.56
15450 186 0.542274 -573.481
15500 188 0.548105 -585.174
15550 188 0.548105 -583.986
15600 190 0.553936 -594.167
15650 188 0.548105 -584.416
15700 187 0.54519 -580.331
15750 188 0.548105 -589.311
15800 186 0.542274 -578.589
15850 186 0.542274 -577.869
15900 185 0.539359 -571.8
15950 185 0.539359 -571.429
16000 185 0.539359 -569.967
16050 186 0.542274 -572.735
16100 182 0.530612 -550.736
16150 179 0.521866 -543.292
16200 178 0.51895 -536.97
16250 178 0.51895 -532.878
16300 176 0.51312 -525.323
16350 177 0.516035 -533.254
16400 175 0.510204 -520.255
16450 176 0.51312 -529.135
16500 176 0.51312 -529.312
16550 176 0.51312 -527.675
16600 178 0.51895 -541.26
16650 179 0.521866 -544.797
16700 178 0.51895 -542.831
16750 178 0.51895 -542.68
16800 178 0.51895 -544.387
16850 178 0.51895 -542.576
16900 179 0.521866 -550.906
16950 178 0.51895 -543.531
17000 180 0.524781 -549.31
17050 183 0.533528 -554.342
17100 180 0.524781 -544.334
17150 179 0.521866 -542.289
17200 180 0.524781 -545.086
17250 183 0.533528 -561.797
17300 184 0.536443 -579.288
17350 186 0.542274 -585.175
17400 188 0.548105 -578.54
17450 188 0.548105 -579.838
17500 188 0.548105 -578.766
17550 188 0.548105 -574.747
17600 186 0.542274 -571.796
17650 184 0.536443 -573.281
17700 182 0.530612 -560.836
17750 183 0.533528 -559.894
17800 182 0.530612 -558.853
17850 182 0.530612 -561.258
17900 182 0.530612 -558.721
17950 181 0.527697 -554.86
18000 181 0.527697 -542.445
18050 182 0.530612 -543.921
18100 182 0.530612 -549.683
18150 182 0.530612 -554.67
18200 182 0.530612 -565.04
18250 181 0.527697 -561.14
18300 180 0.524781 -559.086
18350 180 0.524781 -555.479
18400 179 0.521866 -551.814
18450 181 0.527697 -560.055
18500 182 0.530612 -560.145
18550 183 0.533528 -563.22
18600 182 0.530612 -556.902
18650 182 0.530612 -560.763
18700 183 0.533528 -564.348
18750 183 0.533528 -552.132
18800 183 0.533528 -548.719
18850 184 0.536443 -552.528
18900 185 0.539359 -555.387
18950 182 0.530612 -561.663
19000 181 0.527697 -549.928
19050 181 0.527697 -542.165
19100 180 0.524781 -538.61
19150 180 0.524781 -535.196
19200 177 0.516035 -519.597
19250 175 0.510204 -520.897
19300 175 0.510204 -527.337
19350 175 0.510204 -529.67
19400 176 0.51312 -542.303
19450 177 0.516035 -542.279
19500 178 0.51895 -543.809
19550 176 0.51312 -537.431
19600 174 0.507289 -522.845
19650 175 0.510204 -525.567
19700 174 0.507289 -522.991
19750 173 0.504373 -503.796
19800 174 0.507289 -501.466
19850 171 0.498542 -491.663
19900 172 0.501458 -501.226
19950 173 0.504373 -507.868
20000 174 0.507289 -514.864
20050 175 0.510204 -518.576
20100 175 0.510204 -514.301
20150 175 0.510204 -520.372
20200 176 0.51312 -523.252
20250 176 0.51312 -525.537
20300 173 0.504373 -508.71
20350 174 0.507289 -509.537
20400 174 0.507289 -505.476
20450 171 0.498542 -505.553
20500 173 0.504373 -501.283
20550 171 0.498542 -490.036
20600 171 0.498542 -501.754
20650 174 0.507289 -509.926
20700 175 0.510204 -517.422
20750 175 0.510204 -500.707
20800 175 0.510204 -499.855
20850 176 0.51312 -502.033
20900 174 0.507289 -500.395
20950 174 0.507289 -505.198
21000 174 0.507289 -513.961
21050 175 0.510204 -514.566
21100 173 0.504373 -509.284
21150 172 0.501458 -507.687
21200 170 0.495627 -494.444
21250 172 0.501458 -502.906
21300 173 0.504373 -506.089
21350 175 0.510204 -516.782
21400 174 0.507289 -511.567
21450 174 0.507289 -514.83
21500 177 0.516035 -529.602
21550 180 0.524781 -535.001
21600 180 0.524781 -527.853
21650 178 0.51895 -514.472
21700 179 0.521866 -510.888
21750 179 0.521866 -506.747
21800 179 0.521866 -512.423
21850 182 0.530612 -519.14
21900 180 0.524781 -522.628
21950 178 0.51895 -515.836
22000 177 0.516035 -512.984
22050 176 0.51312 -511.075
22100 175 0.510204 -504.204
22150 175 0.510204 -507.99
22200 174 0.507289 -503.393
22250 176 0.51312 -510.083
22300 172 0.501458 -493.612
22350 167 0.48688 -471.997
22400 168 0.489796 -467.026
22450 168 0.489796 -466.624
22500 169 0.492711 -474.201
22550 168 0.489796 -471.695
22600 168 0.489796 -465.407
22650 168 0.489796 -466.344
22700 165 0.48105 -457.921
22750 164 0.478134 -453.977
22800 163 0.475219 -455.687
22850 161 0.469388 -446.25
22900 162 0.472303 -442.207
22950 163 0.475219 -434.329
23000 160 0.466472 -424.756
23050 157 0.457726 -411.192
23100 158 0.460641 -424.261
23150 161 0.469388 -440.661
23200 158 0.460641 -437.789
23250 158 0.460641 -431.264
23300 163 0.475219 -453.96
23350 164 0.478134 -457.858
23400 165 0.48105 -467.91
23450 166 0.483965 -464.696
23500 165 0.48105 -457.131
23550 164 0.478134 -455.693
23600 164 0.478134 -451.163
23650 164 0.478134 -456.958
23700 164 0.478134 -450.125
23750 164 0.478134 -445.426
23800 166 0.483965 -450.192
23850 164 0.478134 -452.645
23900 165 0.48105 -449.118
23950 165 0.48105 -449.612
24000 165 0.48105 -454.523
24050 163 0.475219 -440.928
24100 166 0.483965 -452.578
24150 167 0.48688 -461.486
24200 165 0.48105 -449.023
24250 165 0.48105 -450.448
24300 168 0.489796 -461.326
24350 165 0.48105 -454.147
24400 166 0.483965 -455.753
24450 165 0.48105 -465.552
24500 164 0.478134 -463.923
24550 169 0.492711 -486.524
24600 168 0.489796 -470.352
24650 163 0.475219 -449.619
24700 165 0.48105 -457.947
24750 166 0.483965 -464.148
24800 167 0.48688 -462.912
24850 169 0.492711 -479.219
24900 169 0.492711 -485.961
24950 170 0.495627 -490.673
25000 167 0.48688 -478.943
25050 169 0.492711 -486.228
25100 168 0.489796 -471.491
25150 170 0.495627 -485.404
25200 171 0.498542 -499.904
25250 170 0.495627 -505.602
25300 170 0.495627 -503.989
25350 174 0.507289 -514.583
25400 173 0.504373 -509.207
25450 173 0.504373 -502.269
25500 176 0.51312 -515.651
25550 177 0.516035 -515.33
25600 179 0.521866 -519.069
25650 179 0.521866 -518.273
25700 179 0.521866 -521.747
25750 180 0.524781 -527.881
25800 181 0.527697 -534.556
25850 180 0.524781 -537.765
25900 182 0.530612 -540.782
25950 180 0.524781 -533.264
26000 181 0.527697 -542.089
26050 180 0.524781 -532.799
26100 180 0.524781 -544.45
26150 179 0.521866 -544.421
26200 180 0.524781 -549.973
26250 177 0.516035 -536.174
26300 176 0.51312 -546.864
26350 175 0.510204 -525.428
26400 176 0.51312 -530.334
26450 177 0.516035 -529.237
26500 179 0.521866 -538.467
26550 179 0.521866 -552.052
26600 179 0.521866 -555.824
26650 177 0.516035 -557.848
26700 176 0.51312 -551.347
26750 175 0.510204 -554.943
26800 176 0.51312 -560.793
26850 180 0.524781 -583.734
26900 181 0.527697 -590.222
26950 182 0.530612 -594.262
27000 182 0.530612 -594.669
27050 181 0.527697 -589.68
27100 181 0.527697 -589.027
27150 182 0.530612 -597.249
27200 181 0.527697 -587.957
27250 182 0.530612 -587.029
27300 183 0.533528 -587.438
27350 183 0.533528 -589.52
27400 185 0.539359 -595.982
27450 188 0.548105 -607.127
27500 189 0.55102 -610.153
27550 188 0.548105 -598.487
27600 189 0.55102 -596.27
27650 191 0.556851 -599.974
27700 190 0.553936 -597.923
27750 189 0.55102 -597.642
27800 186 0.542274 -582.226
27850 188 0.548105 -587.493
27900 187 0.54519 -580.171
27950 189 0.55102 -575.265
28000 192 0.559767 -596.749
28050 192 0.559767 -588.222
28100 190 0.553936 -594.792
28150 190 0.553936 -595.581
28200 187 0.54519 -579.727
28250 188 0.548105 -581.059
28300 188 0.548105 -587.635
28350 184 0.536443 -568.36
28400 185 0.539359 -575.222
28450 184 0.536443 -569.724
28500 184 0.536443 -577.46
28550 185 0.539359 -581.433
28600 183 0.533528 -573.533
28650 185 0.539359 -574.632
28700 183 0.533528 -565.257
28750 185 0.539359 -573.952
28800 185 0.539359 -576.701
28850 186 0.542274 -581.142
28900 188 0.548105 -584.234
28950 189 0.55102 -590.278
29000 189 0.55102 -588.406
29050 191 0.556851 -600.457
29100 190 0.553936 -605.881
29150 190 0.553936 -613.482
29200 189 0.55102 -611.922
29250 187 0.54519 -605.423
29300 186 0.542274 -598.827
29350 186 0.542274 -598.262
29400 187 0.54519 -594.96
29450 187 0.54519 -593.811
29500 187 0.54519 -594.109
29550 186 0.542274 -588.752
29600 186 0.542274 -583.208
29650 191 0.556851 -605.606
29700 189 0.55102 -600.476
29750 190 0.553936 -602.304
29800 189 0.55102 -598.58
29850 186 0.542274 -579.036
29900 186 0.542274 -578.445
29950 186 0.542274 -579.715
30000 188 0.548105 -579.584
30050 189 0.55102 -584.667
30100 189 0.55102 -586.079
30150 190 0.553936 -593.291
30200 190 0.553936 -596.705
30250 190 0.553936 -598.066
30300 190 0.553936 -591.249
30350 190 0.553936 -587.735
30400 190 0.553936 -602.667
30450 192 0.559767 -612.106
30500 192 0.559767 -607.524
30550 194 0.565598 -604.233
30600 194 0.565598 -600.619
30650 193 0.562682 -595.989
30700 193 0.562682 -594.117
30750 194 0.565598 -600.742
30800 195 0.568513 -614.073
30850 194 0.565598 -611.225
30900 191 0.556851 -598.886
30950 191 0.556851 -595.8
31000 190 0.553936 -591.579
31050 190 0.553936 -596.517
31100 189 0.55102 -592.855
31150 193 0.562682 -612.823
31200 195 0.568513 -622.861
31250 194 0.565598 -618.248
31300 195 0.568513 -623.356
31350 197 0.574344 -625.622
31400 197 0.574344 -619.663
31450 196 0.571429 -623.114
31500 197 0.574344 -627.798
31550 198 0.577259 -633.942
31600 197 0.574344 -630.84
31650 194 0.565598 -616.713
31700 193 0.562682 -607.273
31750 196 0.571429 -621.931
31800 196 0.571429 -629.228
31850 196 0.571429 -625.686
31900 197 0.574344 -625.936
31950 197 0.574344 -625.535
32000 197 0.574344 -618.318
32050 195 0.568513 -620.202
32100 194 0.565598 -614.487
32150 192 0.559767 -603.575
32200 191 0.556851 -596.711
32250 191 0.556851 -594.65
32300 190 0.553936 -594.622
32350 189 0.55102 -588.173
32400 189 0.55102 -584.508
32450 189 0.55102 -590.204
32500 189 0.55102 -591.53
32550 188 0.548105 -582.392
32600 187 0.54519 -588.398
32650 186 0.542274 -582.558
32700 187 0.54519 -573.874
32750 186 0.542274 -575.653
32800 186 0.542274 -563.188
32850 186 0.542274 -566.861
32900 185 0.539359 -571.963
32950 185 0.539359 -573.295
33000 183 0.533528 -570.38
33050 184 0.536443 -576.216
33100 184 0.536443 -578.001
33150 185 0.539359 -581.596
33200 185 0.539359 -574.495
33250 185 0.539359 -587.014
33300 183 0.533528 -578.55
33350 183 0.533528 -579.103
33400 180 0.524781 -566.339
33450 181 0.527697 -573.842
33500 179 0.521866 -563.431
33550 181 0.527697 -570.922
33600 179 0.521866 -554.834
33650 177 0.516035 -550.069
33700 177 0.516035 -548.987
33750 179 0.521866 -551.877
33800 179 0.521866 -546.744
33850 179 0.521866 -547.682
33900 180 0.524781 -543.425
33950 177 0.516035 -531.65
34000 176 0.51312 -527.834
34050 179 0.521866 -534.535
34100 182 0.530612 -541.802
34150 182 0.530612 -546.133
34200 182 0.530612 -552.862
34250 181 0.527697 -546.459
34300 183 0.533528 -545.724
34350 184 0.536443 -550.493
34400 187 0.54519 -562.71
34450 186 0.542274 -560.565
34500 186 0.542274 -559.726
34550 186 0.542274 -558.852
34600 185 0.539359 -552.891
34650 183 0.533528 -544.717
34700 184 0.536443 -544.098
34750 184 0.536443 -548.741
34800 185 0.539359 -546.582
34850 184 0.536443 -532.194
34900 182 0.530612 -524.908
34950 181 0.527697 -526.696
35000 180 0.524781 -518.556
35050 178 0.51895 -514.246
35100 179 0.521866 -525.174
35150 181 0.527697 -527.469
35200 181 0.527697 -522.733
35250 181 0.527697 -511.361
35300 180 0.524781 -510.606
35350 178 0.51895 -498.524
35400 175 0.510204 -496.939
35450 174 0.507289 -498.081
35500 174 0.507289 -505.417
35550 172 0.501458 -494.625
35600 171 0.498542 -492.875
35650 171 0.498542 -500.234
35700 170 0.495627 -496.671
35750 172 0.501458 -509.905
35800 172 0.501458 -511.636
35850 174 0.507289 -523
35900 170 0.495627 -497.7
35950 173 0.504373 -512.118
36000 175 0.510204 -529.873
36050 175 0.510204 -523.544
36100 173 0.504373 -506.072
36150 172 0.501458 -497.168
36200 173 0.504373 -508.365
36250 173 0.504373 -507.041
36300 171 0.498542 -502.083
36350 170 0.495627 -496.896
36400 170 0.495627 -490.686
36450 171 0.498542 -487.62
36500 167 0.48688 -473.221
36550 165 0.48105 -464.871
36600 169 0.492711 -486.605
36650 169 0.492711 -487.414
36700 169 0.492711 -484.764
36750 168 0.489796 -480.411
36800 165 0.48105 -458.882
36850 163 0.475219 -451.744
36900 166 0.483965 -457.38
36950 166 0.483965 -461.375
37000 167 0.48688 -462.412
37050 168 0.489796 -466.212
37100 168 0.489796 -465.847
37150 169 0.492711 -460.999
37200 171 0.498542 -473.646
37250 168 0.489796 -473.715
37300 169 0.492711 -481.111
37350 172 0.501458 -497.229
37400 171 0.498542 -501.092
37450 170 0.495627 -495.753
37500 172 0.501458 -494.296
37550 174 0.507289 -491.172
37600 175 0.510204 -504.966
37650 175 0.510204 -505.988
37700 171 0.498542 -501.214
37750 171 0.498542 -497.151
37800 174 0.507289 -513.518
37850 176 0.51312 -526.061
37900 179 0.521866 -531.147
37950 175 0.510204 -514.487
38000 174 0.507289 -505.102
38050 176 0.51312 -517.293
38100 176 0.51312 -520.965
38150 175 0.510204 -523.313
38200 173 0.504373 -511.657
38250 172 0.501458 -507.431
38300 172 0.501458 -504.69
38350 174 0.507289 -507.474
38400 174 0.507289 -506.42
38450 176 0.51312 -516.264
38500 177 0.516035 -518.255
38550 172 0.501458 -496.834
38600 172 0.501458 -502.557
38650 173 0.504373 -508.64
38700 174 0.507289 -517.858
38750 175 0.510204 -521.931
38800 175 0.510204 -521.713
38850 176 0.51312 -516.463
38900 177 0.516035 -520.054
38950 180 0.524781 -527.122
39000 174 0.507289 -521.819
39050 172 0.501458 -505.148
39100 172 0.501458 -511.643
39150 171 0.498542 -509.76
