# step   N   rho   U
0 185 0.539359 -554.802
50 183 0.533528 -546.223
100 182 0.530612 -550.319
150 182 0.530612 -549.476
200 179 0.521866 -535.589
250 180 0.524781 -539.001
300 182 0.530612 -549.89
350 181 0.527697 -546.811
400 182 0.530612 -547.56
450 184 0.536443 -558.195
500 183 0.533528 -560.25
550 184 0.536443 -564.01
600 183 0.533528 -555.427
650 184 0.536443 -564.385
700 181 0.527697 -554.973
750 179 0.521866 -549.39
800 180 0.524781 -545.706
850 180 0.524781 -543.928
900 180 0.524781 -544.852
950 178 0.51895 -526.48
1000 180 0.524781 -530.374
1050 175 0.510204 -526.538
1100 174 0.507289 -523.848
1150 175 0.510204 -519.6
1200 174 0.507289 -513.414
1250 175 0.510204 -515.455
1300 175 0.510204 -510.261
1350 179 0.521866 -527.248
1400 176 0.51312 -515.958
1450 179 0.521866 -534.495
1500 180 0.524781 -542.071
1550 180 0.524781 -536.554
1600 180 0.524781 -536.361
1650 183 0.533528 -552.549
1700 182 0.530612 -549.476
1750 182 0.530612 -544.043
1800 180 0.524781 -540.242
1850 183 0.533528 -545.196
1900 181 0.527697 -538.209
1950 181 0.527697 -537.072
2000 182 0.530612 -547.208
2050 184 0.536443 -559.248
2100 187 0.54519 -560.117
2150 186 0.542274 -560.793
2200 184 0.536443 -551.116
2250 184 0.536443 -559.385
2300 186 0.542274 -574.567
2350 184 0.536443 -568.833
2400 185 0.539359 -569.026
2450 186 0.542274 -565.242
2500 183 0.533528 -541.849
2550 183 0.533528 -542.23
2600 181 0.527697 -546.132
2650 182 0.530612 -550.198
2700 182 0.530612 -549.927
2750 182 0.530612 -559.833
2800 183 0.533528 -557.104
2850 183 0.533528 -553.829
2900 184 0.536443 -561.244
2950 184 0.536443 -555.226
3000 186 0.542274 -562.398
3050 185 0.539359 -552.402
3100 182 0.530612 -540.607
3150 182 0.530612 -541.476
3200 183 0.533528 -545.236
3250 183 0.533528 -540.745
3300 184 0.536443 -542.05
3350 184 0.536443 -551.077
3400 180 0.524781 -530.824
3450 176 0.51312 -516.836
3500 175 0.510204 -501.359
3550 176 0.51312 -503.784
3600 173 0.504373 -490.449
3650 171 0.498542 -485.864
3700 169 0.492711 -469.969
3750 168 0.489796 -458.98
3800 168 0.489796 -468.572
3850 169 0.492711 -472.526
3900 170 0.495627 -482.717
3950 171 0.498542 -486.007
4000 171 0.498542 -473.97
4050 171 0.498542 -481.771
4100 170 0.495627 -477.209
4150 170 0.495627 -470.55
4200 167 0.48688 -461.788
4250 168 0.489796 -470.478
4300 167 0.48688 -466.749
4350 168 0.489796 -477.141
4400 170 0.495627 -491.067
4450 171 0.498542 -499.379
4500 173 0.504373 -503.725
4550 173 0.504373 -498.984
4600 175 0.510204 -513.188
4650 174 0.507289 -509.101
4700 176 0.51312 -509.165
4750 174 0.507289 -499.782
4800 173 0.504373 -498.068
4850 175 0.510204 -502.089
4900 177 0.516035 -516.683
4950 177 0.516035 -515.389
5000 177 0.516035 -519.523
5050 177 0.516035 -518.824
5100 176 0.51312 -516.445
5150 178 0.51895 -519.162
5200 177 0.516035 -515.607
5250 175 0.510204 -508.308
5300 175 0.510204 -497.361
5350 174 0.507289 -501.023
5400 172 0.501458 -497.225
5450 174 0.507289 -492.232
5500 178 0.51895 -507.141
5550 178 0.51895 -509.5
5600 177 0.516035 -498.819
5650 178 0.51895 -506.322
5700 177 0.516035 -494.943
5750 176 0.51312 -494.965
5800 175 0.510204 -497.223
5850 176 0.51312 -495.782
5900 176 0.51312 -497.921
5950 175 0.510204 -500.536
6000 176 0.51312 -505.592
6050 176 0.51312 -508.53
6100 174 0.507289 -504.197
6150 176 0.51312 -521.249
6200 177 0.516035 -517.619
6250 180 0.524781 -528.006
6300 181 0.527697 -529.775
6350 180 0.524781 -532.124
6400 180 0.524781 -542.932
6450 182 0.530612 -551.019
6500 182 0.530612 -545.3
6550 182 0.530612 -540.148
6600 182 0.530612 -542.52
6650 181 0.527697 -538.651
6700 181 0.527697 -543.921
6750 182 0.530612 -546.218
6800 180 0.524781 -530.04
6850 180 0.524781 -534.269
6900 178 0.51895 -530.984
6950 178 0.51895 -534.889
7000 178 0.51895 -546.649
7050 179 0.521866 -555.291
7100 179 0.521866 -551.238
7150 181 0.527697 -557.669
7200 183 0.533528 -560.305
7250 182 0.530612 -559.401
7300 180 0.524781 -545.186
7350 180 0.524781 -541.88
7400 180 0.524781 -545.908
7450 179 0.521866 -539.965
7500 180 0.524781 -558.564
7550 183 0.533528 -573.191
7600 181 0.527697 -561.882
7650 181 0.527697 -568.607
7700 181 0.527697 -568.936
7750 181 0.527697 -568.958
7800 181 0.527697 -561.848
7850 178 0.51895 -546.947
7900 179 0.521866 -556.814
7950 180 0.524781 -561.416
8000 180 0.524781 -568.241
8050 182 0.530612 -580.753
8100 179 0.521866 -562.968
8150 180 0.524781 -562.801
8200 184 0.536443 -566.006
8250 184 0.536443 -561.467
8300 185 0.539359 -576.988
8350 184 0.536443 -579.58
8400 185 0.539359 -583.347
8450 186 0.542274 -589.94
8500 189 0.55102 -592.059
8550 188 0.548105 -586.019
8600 188 0.548105 -575.927
8650 185 0.539359 -568.634
8700 184 0.536443 -576.857
8750 183 0.533528 -572.525
8800 187 0.54519 -599.2
8850 189 0.55102 -602.58
8900 190 0.553936 -599.213
8950 188 0.548105 -591.086
9000 191 0.556851 -611.174
9050 189 0.55102 -603.669
9100 186 0.542274 -582.227
9150 186 0.542274 -582.306
9200 186 0.542274 -583.426
9250 185 0.539359 -579.917
9300 188 0.548105 -591.816
9350 188 0.548105 -590.016
9400 191 0.556851 -598.248
9450 191 0.556851 -592.939
9500 191 0.556851 -574.569
9550 192 0.559767 -582.759
9600 196 0.571429 -604.644
9650 194 0.565598 -611.489
9700 194 0.565598 -622.577
9750 194 0.565598 -622.55
9800 194 0.565598 -627.357
9850 191 0.556851 -619.273
9900 192 0.559767 -620.475
9950 193 0.562682 -625.006
10000 193 0.562682 -618.157
10050 194 0.565598 -621.191
10100 194 0.565598 -626.743
10150 193 0.562682 -621.971
10200 192 0.559767 -616.49
10250 191 0.556851 -612.414
10300 191 0.556851 -613.009
10350 192 0.559767 -618.961
10400 187 0.54519 -596.784
10450 187 0.54519 -598.148
10500 190 0.553936 -602.248
10550 189 0.55102 -597.373
10600 192 0.559767 -616.055
10650 194 0.565598 -622.634
10700 197 0.574344 -640.983
10750 195 0.568513 -633.101
10800 194 0.565598 -624.021
10850 195 0.568513 -635.993
10900 197 0.574344 -647.018
10950 199 0.580175 -652.279
11000 197 0.574344 -647.014
11050 197 0.574344 -645.8
11100 196 0.571429 -639.251
11150 193 0.562682 -620.431
11200 193 0.562682 -628.457
11250 196 0.571429 -642.61
11300 197 0.574344 -644.713
11350 195 0.568513 -631.24
11400 195 0.568513 -627.64
11450 195 0.568513 -628.338
11500 196 0.571429 -637.095
11550 196 0.571429 -628.373
11600 194 0.565598 -611.753
11650 193 0.562682 -603.473
11700 193 0.562682 -600.072
11750 192 0.559767 -585.38
11800 191 0.556851 -581.328
11850 190 0.553936 -572.98
11900 189 0.55102 -569.665
11950 190 0.553936 -572.387
12000 187 0.54519 -560.319
12050 185 0.539359 -547.997
12100 184 0.536443 -552.501
12150 182 0.530612 -543.228
12200 183 0.533528 -547.84
12250 183 0.533528 -546.706
12300 182 0.530612 -543.958
12350 184 0.536443 -543.386
12400 183 0.533528 -539.528
12450 181 0.527697 -525.328
12500 182 0.530612 -538.58
12550 184 0.536443 -556.926
12600 182 0.530612 -542.043
12650 186 0.542274 -549.172
12700 184 0.536443 -547.438
12750 182 0.530612 -547.178
12800 182 0.530612 -538.114
12850 184 0.536443 -545.953
12900 182 0.530612 -543.501
12950 181 0.527697 -536.829
13000 180 0.524781 -532.681
13050 180 0.524781 -527.046
13100 181 0.527697 -535.01
13150 181 0.527697 -534.718
13200 181 0.527697 -542.305
13250 181 0.527697 -536.798
13300 183 0.533528 -552.305
13350 186 0.542274 -563.035
13400 185 0.539359 -548.565
13450 183 0.533528 -554.419
13500 183 0.533528 -555.234
13550 180 0.524781 -541.012
13600 179 0.521866 -543.653
13650 179 0.521866 -551.769
13700 179 0.521866 -554.295
13750 180 0.524781 -545.045
13800 181 0.527697 -549.425
13850 180 0.524781 -545.059
13900 181 0.527697 -553.022
13950 182 0.530612 -563.725
14000 184 0.536443 -567.581
14050 182 0.530612 -550.818
14100 182 0.530612 -560.391
14150 183 0.533528 -564.107
14200 183 0.533528 -564.273
14250 185 0.539359 -579.194
14300 183 0.533528 -569.48
14350 185 0.539359 -579.546
14400 185 0.539359 -583.693
14450 185 0.539359 -583.112
14500 187 0.54519 -585.444
14550 189 0.55102 -596.188
14600 185 0.539359 -574.926
14650 186 0.542274 -577.396
14700 188 0.548105 -583.61
14750 184 0.536443 -567.941
14800 183 0.533528 -566.772
14850 184 0.536443 -565.586
14900 186 0.542274 -576.493
14950 186 0.542274 -572.458
15000 185 0.539359 -566.468
15050 184 0.536443 -561.314
15100 180 0.524781 -546.023
15150 180 0.524781 -546.123
15200 181 0.527697 -541.15
15250 179 0.521866 -524.087
15300 182 0.530612 -536.399
15350 183 0.533528 -541.109
15400 183 0.533528 -541.506
15450 181 0.527697 -532.788
15500 181 0.527697 -531.197
15550 178 0.51895 -527.915
15600 179 0.521866 -537.923
15650 181 0.527697 -550.285
15700 180 0.524781 -537.984
15750 180 0.524781 -541.698
15800 180 0.524781 -549.97
15850 180 0.524781 -556.832
15900 179 0.521866 -550.461
15950 176 0.51312 -532.786
16000 178 0.51895 -542.389
16050 175 0.510204 -527.789
16100 177 0.516035 -540.007
16150 175 0.510204 -533.315
16200 174 0.507289 -530.557
16250 173 0.504373 -524.163
16300 172 0.501458 -517.506
16350 173 0.504373 -519.088
16400 172 0.501458 -514.346
16450 173 0.504373 -516.648
16500 174 0.507289 -522.978
16550 171 0.498542 -504.395
16600 170 0.495627 -495.26
16650 170 0.495627 -497.271
16700 169 0.492711 -493.297
16750 170 0.495627 -497.673
16800 170 0.495627 -498.186
16850 169 0.492711 -496.686
16900 170 0.495627 -493.848
16950 171 0.498542 -486.529
17000 171 0.498542 -488.458
17050 174 0.507289 -490.759
17100 175 0.510204 -493.721
17150 178 0.51895 -506.945
17200 175 0.510204 -495.931
17250 177 0.516035 -501.959
