# step   N   rho   U
0 209 0.609329 -812.15
50 211 0.61516 -824.194
100 210 0.612245 -823.112
150 210 0.612245 -821.552
200 211 0.61516 -827.166
250 211 0.61516 -823.957
300 209 0.609329 -817.101
350 208 0.606414 -815.677
400 209 0.609329 -824.773
450 209 0.609329 -823.504
500 207 0.603499 -809.068
550 207 0.603499 -809.558
600 207 0.603499 -808.576
650 207 0.603499 -805.686
700 208 0.606414 -814.822
750 207 0.603499 -807.851
800 206 0.600583 -803.154
850 207 0.603499 -803.052
900 207 0.603499 -803.473
950 207 0.603499 -805.3
1000 207 0.603499 -801.499
1050 206 0.600583 -794.796
1100 206 0.600583 -795.817
1150 206 0.600583 -794.186
1200 205 0.597668 -786.709
1250 206 0.600583 -800.953
1300 205 0.597668 -797.037
1350 205 0.597668 -797.741
1400 205 0.597668 -794.687
1450 204 0.594752 -786.881
1500 205 0.597668 -795.248
1550 204 0.594752 -792.667
1600 205 0.597668 -798.6
1650 205 0.597668 -797.381
1700 205 0.597668 -794.999
1750 205 0.597668 -793.294
1800 205 0.597668 -793.613
1850 205 0.597668 -787.572
1900 205 0.597668 -789.087
1950 205 0.597668 -788.608
2000 206 0.600583 -792.805
2050 207 0.603499 -798.47
2100 207 0.603499 -800.195
2150 207 0.603499 -798.533
2200 207 0.603499 -800.483
2250 206 0.600583 -790.873
2300 206 0.600583 -793.049
2350 206 0.600583 -792.466
2400 206 0.600583 -793.597
2450 207 0.603499 -797.536
2500 205 0.597668 -791.451
2550 206 0.600583 -799.719
2600 208 0.606414 -811.548
2650 208 0.606414 -813.733
2700 207 0.603499 -810.888
2750 207 0.603499 -811.265
2800 208 0.606414 -819.557
2850 208 0.606414 -818.175
2900 208 0.606414 -815.195
2950 208 0.606414 -814.787
3000 208 0.606414 -810.059
3050 209 0.609329 -822.03
3100 210 0.612245 -828.425
3150 209 0.609329 -825.018
3200 209 0.609329 -817.45
3250 209 0.609329 -813.95
3300 208 0.606414 -806.613
3350 207 0.603499 -802.464
3400 207 0.603499 -804.851
3450 207 0.603499 -805.738
3500 207 0.603499 -809.826
3550 207 0.603499 -807.781
3600 207 0.603499 -806.708
3650 207 0.603499 -811.724
3700 207 0.603499 -810.649
3750 207 0.603499 -806.4
3800 207 0.603499 -805.595
3850 207 0.603499 -805.465
3900 207 0.603499 -806.966
3950 206 0.600583 -798.428
4000 208 0.606414 -803.456
4050 208 0.606414 -801.959
4100 208 0.606414 -801.086
4150 207 0.603499 -797.923
4200 208 0.606414 -809.093
4250 209 0.609329 -816.626
4300 209 0.609329 -816.718
4350 209 0.609329 -819.123
4400 209 0.609329 -819.74
4450 209 0.609329 -824.015
4500 209 0.609329 -825.214
4550 208 0.606414 -815.313
4600 208 0.606414 -818.715
4650 209 0.609329 -818.843
4700 208 0.606414 -814.747
4750 208 0.606414 -818.901
4800 208 0.606414 -823.548
4850 208 0.606414 -820.979
4900 210 0.612245 -826.984
4950 209 0.609329 -822.761
5000 208 0.606414 -815.244
5050 210 0.612245 -830.669
5100 210 0.612245 -837.268
5150 211 0.61516 -844.483
5200 213 0.620991 -851.466
5250 214 0.623907 -854.847
5300 214 0.623907 -852.139
5350 213 0.620991 -848.232
5400 212 0.618076 -846.547
5450 211 0.61516 -837.69
5500 211 0.61516 -838.023
5550 210 0.612245 -830.591
5600 210 0.612245 -838.887
5650 210 0.612245 -838.093
5700 211 0.61516 -845.261
5750 212 0.618076 -853.044
5800 213 0.620991 -863.446
5850 212 0.618076 -856.694
5900 212 0.618076 -854.528
5950 213 0.620991 -856.347
6000 214 0.623907 -857.303
6050 215 0.626822 -864.594
6100 215 0.626822 -864.825
6150 215 0.626822 -861.185
6200 215 0.626822 -856.738
6250 215 0.626822 -857.948
6300 216 0.629738 -863.209
6350 215 0.626822 -859.939
6400 216 0.629738 -866.485
6450 216 0.629738 -863.696
6500 216 0.629738 -866.33
6550 217 0.632653 -869.582
6600 217 0.632653 -872.285
6650 217 0.632653 -876.512
6700 217 0.632653 -879.886
6750 218 0.635569 -880.71
6800 218 0.635569 -879.34
6850 218 0.635569 -871.58
6900 218 0.635569 -871.566
6950 217 0.632653 -868.988
7000 217 0.632653 -865.964
7050 217 0.632653 -863.435
7100 217 0.632653 -865.229
7150 217 0.632653 -865.453
7200 215 0.626822 -857.87
7250 215 0.626822 -857.646
7300 215 0.626822 -857.514
7350 215 0.626822 -859.623
7400 215 0.626822 -859.753
7450 214 0.623907 -849.457
7500 214 0.623907 -854.533
7550 214 0.623907 -861.553
7600 214 0.623907 -860.57
7650 214 0.623907 -858.147
7700 214 0.623907 -859.215
7750 212 0.618076 -848.217
7800 212 0.618076 -849.4
7850 212 0.618076 -849.438
7900 212 0.618076 -846.983
7950 212 0.618076 -847.911
8000 211 0.61516 -844.087
8050 210 0.612245 -837.036
8100 211 0.61516 -836.818
8150 212 0.618076 -844.916
8200 213 0.620991 -851.509
8250 212 0.618076 -845.782
8300 211 0.61516 -841.231
8350 211 0.61516 -839.663
8400 211 0.61516 -839.121
8450 211 0.61516 -841.234
8500 211 0.61516 -843.23
8550 211 0.61516 -840.746
8600 211 0.61516 -840.534
8650 211 0.61516 -840.993
8700 211 0.61516 -841.853
8750 210 0.612245 -829.585
8800 210 0.612245 -832.164
8850 210 0.612245 -831.621
8900 211 0.61516 -839.061
8950 211 0.61516 -830.579
9000 211 0.61516 -832.829
9050 211 0.61516 -827.047
9100 211 0.61516 -831.183
9150 212 0.618076 -836.11
9200 211 0.61516 -831.159
9250 211 0.61516 -829.675
9300 211 0.61516 -828.98
9350 210 0.612245 -826.074
9400 210 0.612245 -826.25
9450 209 0.609329 -821.619
9500 209 0.609329 -819.276
9550 209 0.609329 -820.39
9600 209 0.609329 -820.288
9650 210 0.612245 -822.908
9700 210 0.612245 -824.835
9750 210 0.612245 -827.077
9800 210 0.612245 -826.324
9850 210 0.612245 -824.114
9900 210 0.612245 -831.125
9950 211 0.61516 -834.158
10000 212 0.618076 -836.695
10050 211 0.61516 -829.681
10100 211 0.61516 -829.73
10150 210 0.612245 -826.317
10200 210 0.612245 -825.806
10250 210 0.612245 -822.547
10300 210 0.612245 -822.12
10350 210 0.612245 -819.578
10400 209 0.609329 -814.246
10450 209 0.609329 -814.653
10500 211 0.61516 -818.687
10550 211 0.61516 -819.28
10600 211 0.61516 -817.394
10650 210 0.612245 -815.098
10700 209 0.609329 -817.173
10750 209 0.609329 -813.777
10800 210 0.612245 -824.703
10850 211 0.61516 -830.703
10900 210 0.612245 -821.734
10950 209 0.609329 -814.069
11000 209 0.609329 -813.491
11050 210 0.612245 -823.905
11100 208 0.606414 -806.972
11150 207 0.603499 -805.88
11200 207 0.603499 -807.787
11250 208 0.606414 -813.888
11300 207 0.603499 -803.133
11350 209 0.609329 -804.718
11400 209 0.609329 -811.063
11450 209 0.609329 -813.692
11500 209 0.609329 -820.31
11550 209 0.609329 -823.473
11600 210 0.612245 -830.457
11650 210 0.612245 -831.958
11700 209 0.609329 -824.793
11750 209 0.609329 -829.079
11800 210 0.612245 -832.788
11850 209 0.609329 -828.591
11900 207 0.603499 -812.254
11950 206 0.600583 -810.042
12000 209 0.609329 -825.93
12050 209 0.609329 -828.169
12100 208 0.606414 -825.602
12150 207 0.603499 -823.414
12200 207 0.603499 -826.475
12250 208 0.606414 -825.401
12300 208 0.606414 -823.908
12350 208 0.606414 -819.747
12400 208 0.606414 -812.34
12450 208 0.606414 -809.571
12500 208 0.606414 -814.284
12550 208 0.606414 -818.894
12600 208 0.606414 -820.821
12650 208 0.606414 -816.598
12700 209 0.609329 -820.76
12750 210 0.612245 -824.912
12800 210 0.612245 -828.048
12850 210 0.612245 -827.414
12900 210 0.612245 -828.524
12950 210 0.612245 -829.46
13000 210 0.612245 -831.878
13050 210 0.612245 -830.141
13100 210 0.612245 -826.702
13150 210 0.612245 -830.287
13200 209 0.609329 -818.31
13250 209 0.609329 -819.431
13300 209 0.609329 -819.985
13350 209 0.609329 -816.965
13400 209 0.609329 -820.689
13450 208 0.606414 -811.526
13500 208 0.606414 -813.975
13550 208 0.606414 -813.073
13600 208 0.606414 -814.927
13650 208 0.606414 -814.067
13700 209 0.609329 -815.788
13750 209 0.609329 -813.005
13800 208 0.606414 -811.351
13850 208 0.606414 -813.849
13900 208 0.606414 -815.878
13950 209 0.609329 -818.478
14000 208 0.606414 -819.481
14050 209 0.609329 -824.177
