# T rho P Z beta_mu_total U_per_particle
1.12 0.11 0.06963145455 0.5651903778 -3.052414212 -0.9595945085
1.12 0.11 0.06997997624 0.5680192877 -3.052466568 -0.9593067045
1.12 0.11 0.06968732574 0.5656438777 -3.054360826 -0.9631179072
1.12 0.11 0.07007685943 0.5688056772 -3.05228285 -0.9574073933
1.12 0.11 0.06998722037 0.5680780874 -3.052902815 -0.9593917703
1.12 0.11 0.06991632965 0.5675026757 -3.05142068 -0.9578338586
1.12 0.11 0.0702206931 0.5699731583 -3.052243539 -0.9554391102
1.12 0.11 0.06994346433 0.5677229247 -3.053486766 -0.9582887812
1.12 0.11 0.06986814641 0.567111578 -3.053625711 -0.9591792294
1.12 0.11 0.0698239853 0.5667531275 -3.053457454 -0.9585412858
1.12 0.11 0.06970056375 0.5657513291 -3.052689039 -0.9601087768
1.12 0.11 0.07030475053 0.5706554426 -3.053102934 -0.9527875654
1.12 0.11 0.07005937349 0.5686637458 -3.053724465 -0.9581830982
1.12 0.11 0.07029592781 0.5705838296 -3.051672586 -0.9620463557
1.12 0.11 0.06968365399 0.5656140746 -3.053011618 -0.957209567
1.12 0.11 0.06993619876 0.567663951 -3.052791223 -0.9584663795
1.12 0.11 0.06993777622 0.5676767551 -3.053486093 -0.9539744138
1.12 0.11 0.07005393603 0.5686196107 -3.053893164 -0.963436026
1.12 0.11 0.07012587767 0.5692035525 -3.052433822 -0.9564826142
1.12 0.11 0.07011504371 0.5691156145 -3.052366287 -0.9588684774
1.12 0.11 0.07011179517 0.5690892465 -3.052133113 -0.9592736584
1.12 0.11 0.07011843305 0.5691431254 -3.05311206 -0.9582173144
1.12 0.11 0.06970760959 0.5658085194 -3.052664565 -0.9575046057
1.12 0.11 0.06995703809 0.5678331014 -3.051409421 -0.9583888177
1.12 0.11 0.06961317134 0.5650419752 -3.052883181 -0.9552854461
