# T rho P Z beta_mu_total U_per_particle
1.12 0.14 0.07335771317 0.4678425585 -3.015997566 -1.219614006
1.12 0.14 0.07314179934 0.466465557 -3.018271362 -1.2230767
1.12 0.14 0.07330908598 0.4675324361 -3.018318114 -1.21701014
1.12 0.14 0.07421255821 0.4732943763 -3.017841673 -1.21022039
1.12 0.14 0.07401075017 0.4720073353 -3.018557468 -1.216619976
1.12 0.14 0.07347288867 0.4685770961 -3.017594141 -1.215142314
1.12 0.14 0.07350007408 0.4687504725 -3.016480318 -1.219455469
1.12 0.14 0.0738117464 0.4707381786 -3.016090377 -1.216456128
1.12 0.14 0.07347787999 0.4686089285 -3.017959177 -1.215628494
1.12 0.14 0.07399830534 0.4719279677 -3.015309311 -1.216647436
1.12 0.14 0.07316930031 0.4666409459 -3.016778612 -1.222456041
1.12 0.14 0.07309406373 0.4661611207 -3.017675622 -1.214320448
1.12 0.14 0.07304520966 0.4658495514 -3.014367131 -1.215280107
1.12 0.14 0.07336200641 0.4678699388 -3.016034416 -1.220035184
1.12 0.14 0.07396034918 0.4716859004 -3.016355496 -1.215941422
1.12 0.14 0.07310479372 0.4662295518 -3.014945343 -1.213290564
1.12 0.14 0.07385786804 0.4710323217 -3.017959436 -1.220541036
1.12 0.14 0.07319909651 0.4668309727 -3.017060097 -1.219691407
1.12 0.14 0.07399526332 0.4719085671 -3.018075817 -1.215935636
1.12 0.14 0.07370592395 0.4700632905 -3.016279164 -1.217735716
1.12 0.14 0.07367675994 0.4698772955 -3.016856514 -1.219853852
1.12 0.14 0.07272953175 0.4638362995 -3.019247006 -1.226713306
1.12 0.14 0.0738032741 0.4706841461 -3.017923201 -1.215426759
1.12 0.14 0.07337719725 0.4679668192 -3.0155393 -1.213896884
1.12 0.14 0.07381949036 0.4707875661 -3.019029825 -1.2197949
