# T rho P Z beta_mu_total U_per_particle
1.12 0.19 0.06893153681 0.3239263948 -3.022440934 -1.629603795
1.12 0.19 0.06845396713 0.3216821764 -3.022715416 -1.627191866
1.12 0.19 0.06917964249 0.3250923049 -3.01960167 -1.621498963
1.12 0.19 0.0697775906 0.3279022115 -3.021098041 -1.633494149
1.12 0.19 0.06921369988 0.325252349 -3.021412197 -1.631039955
1.12 0.19 0.07016035361 0.3297009098 -3.02389488 -1.639869957
1.12 0.19 0.06896254963 0.3240721317 -3.021933464 -1.626622513
1.12 0.19 0.06925891731 0.325464837 -3.023532836 -1.632124576
1.12 0.19 0.06814310665 0.3202213658 -3.020628863 -1.639449761
1.12 0.19 0.06999115394 0.3289057986 -3.020897875 -1.627243565
1.12 0.19 0.06973899533 0.3277208427 -3.023531532 -1.62476117
1.12 0.19 0.06871985892 0.3229316679 -3.023043868 -1.643026107
1.12 0.19 0.06949187 0.3265595395 -3.022012597 -1.634463608
1.12 0.19 0.06970181439 0.3275461203 -3.023128332 -1.631108515
1.12 0.19 0.07003785818 0.3291252734 -3.023466413 -1.624714529
1.12 0.19 0.06850772456 0.3219347958 -3.021846902 -1.621966336
1.12 0.19 0.06924215819 0.3253860817 -3.019835327 -1.626367241
1.12 0.19 0.06920929187 0.3252316347 -3.021553723 -1.634544278
1.12 0.19 0.07012156626 0.3295186384 -3.023972176 -1.627759968
1.12 0.19 0.06913995126 0.324905786 -3.022788984 -1.627797437
1.12 0.19 0.068977375 0.3241417998 -3.020826537 -1.627166811
1.12 0.19 0.06934008922 0.3258462839 -3.02179224 -1.636019998
1.12 0.19 0.06969488401 0.3275135527 -3.022119664 -1.637289066
1.12 0.19 0.06905143632 0.3244898323 -3.023303502 -1.629650633
1.12 0.19 0.06960030402 0.3270690978 -3.023281974 -1.63105577
