# T rho P Z beta_mu_total U_per_particle
1.12 0.12 0.07141749639 0.5313801815 -3.035375943 -1.044316272
1.12 0.12 0.07201956356 0.5358598479 -3.034737485 -1.043364667
1.12 0.12 0.07165357271 0.5331367017 -3.034572128 -1.043186664
1.12 0.12 0.07177242602 0.5340210269 -3.036192374 -1.046718712
1.12 0.12 0.07177416888 0.5340339947 -3.035899056 -1.042439211
1.12 0.12 0.07170318024 0.5335058054 -3.036182939 -1.047537389
1.12 0.12 0.07172766202 0.5336879615 -3.035004108 -1.04612445
1.12 0.12 0.07161883397 0.5328782289 -3.036077584 -1.04500732
1.12 0.12 0.07137849014 0.5310899564 -3.035342045 -1.050443486
1.12 0.12 0.07208968369 0.5363815751 -3.035114672 -1.042278352
1.12 0.12 0.07141650515 0.5313728061 -3.035974367 -1.046404224
1.12 0.12 0.07203649687 0.5359858398 -3.035826417 -1.047814272
1.12 0.12 0.07149739653 0.5319746766 -3.035328156 -1.04408621
1.12 0.12 0.07190286667 0.5349915675 -3.034923695 -1.045706128
1.12 0.12 0.07183594005 0.5344936016 -3.036969781 -1.046182068
1.12 0.12 0.07083449726 0.5270423904 -3.036159622 -1.051754437
1.12 0.12 0.07160678683 0.5327885925 -3.034882925 -1.041033503
1.12 0.12 0.07182780857 0.5344330995 -3.035785789 -1.045796611
1.12 0.12 0.07159285841 0.5326849584 -3.036367013 -1.046945067
1.12 0.12 0.07182426142 0.534406707 -3.037166145 -1.049481235
1.12 0.12 0.07156826985 0.5325020078 -3.035160368 -1.043950468
1.12 0.12 0.07112478639 0.5292022797 -3.036413868 -1.053680206
1.12 0.12 0.07141744263 0.5313797815 -3.035318466 -1.046590658
1.12 0.12 0.07175882075 0.5339197972 -3.036531995 -1.051811847
1.12 0.12 0.07202241648 0.535881075 -3.035112759 -1.044772475
