# T rho P Z beta_mu_total U_per_particle
1.12 0.17 0.07220963877 0.3792523045 -3.01586769 -1.478507181
1.12 0.17 0.07273467558 0.3820098508 -3.012979761 -1.459245293
1.12 0.17 0.07213956299 0.3788842594 -3.015748929 -1.477324599
1.12 0.17 0.07211005065 0.3787292576 -3.01433176 -1.46867635
1.12 0.17 0.07283041273 0.3825126719 -3.014129092 -1.459284559
1.12 0.17 0.07175715169 0.3768757967 -3.0147508 -1.468343711
1.12 0.17 0.07258760893 0.3812374419 -3.0134075 -1.472002117
1.12 0.17 0.07232127831 0.3798386466 -3.014425366 -1.4706122
1.12 0.17 0.07258580638 0.3812279747 -3.011749712 -1.468094668
1.12 0.17 0.07262989554 0.3814595354 -3.015302367 -1.473339899
1.12 0.17 0.07307111526 0.3837768659 -3.014259409 -1.46489816
1.12 0.17 0.07234197306 0.3799473375 -3.015350087 -1.474681623
1.12 0.17 0.07273802228 0.3820274279 -3.013368671 -1.466662564
1.12 0.17 0.07285685554 0.3826515522 -3.015296241 -1.467985424
1.12 0.17 0.0719219712 0.3777414454 -3.013250658 -1.470329117
1.12 0.17 0.07269301744 0.381791058 -3.015496944 -1.476994495
1.12 0.17 0.07216907051 0.3790392359 -3.013571396 -1.473123546
1.12 0.17 0.07185738484 0.3774022313 -3.015001986 -1.478112329
1.12 0.17 0.07235864029 0.3800348755 -3.013689316 -1.469100238
1.12 0.17 0.07235164846 0.3799981537 -3.013637369 -1.468894868
1.12 0.17 0.07215902535 0.3789864777 -3.013148446 -1.465454661
1.12 0.17 0.07131432902 0.3745500474 -3.015160558 -1.476703268
1.12 0.17 0.07281484048 0.3824308849 -3.015666738 -1.463817751
1.12 0.17 0.0723584949 0.3800341119 -3.011593215 -1.465156611
1.12 0.17 0.07213147295 0.3788417697 -3.016750433 -1.469351483
