# step   N   rho   U
9500 14 0.0408163 -3.0242
9550 17 0.0495627 -4.47261
9600 8 0.0233236 -1.96652
9650 12 0.0349854 -3.89985
9700 11 0.03207 -2.42014
9750 17 0.0495627 -8.92934
9800 24 0.0699708 -15.1029
9850 26 0.0758017 -15.0839
9900 29 0.0845481 -17.976
9950 23 0.0670554 -11.6643
10000 22 0.0641399 -16.0378
10050 24 0.0699708 -16.4466
10100 21 0.0612245 -12.2779
10150 17 0.0495627 -11.6517
10200 22 0.0641399 -14.0931
10250 16 0.0466472 -4.18242
10300 19 0.0553936 -4.24206
10350 22 0.0641399 -11.0706
10400 15 0.0437318 -5.42762
10450 22 0.0641399 -12.2309
10500 22 0.0641399 -11.146
10550 18 0.0524781 -5.42184
10600 17 0.0495627 -5.83493
10650 16 0.0466472 -5.95139
10700 12 0.0349854 -3.45572
10750 18 0.0524781 -8.84606
10800 22 0.0641399 -8.86185
10850 26 0.0758017 -17.5745
10900 17 0.0495627 -5.97509
10950 26 0.0758017 -13.9892
11000 21 0.0612245 -8.71144
11050 17 0.0495627 -5.10357
11100 10 0.0291545 -2.85017
11150 21 0.0612245 -7.92702
11200 15 0.0437318 -4.62178
11250 16 0.0466472 -6.63678
11300 18 0.0524781 -7.62997
11350 24 0.0699708 -9.92989
11400 25 0.0728863 -9.2784
11450 23 0.0670554 -9.95261
11500 24 0.0699708 -13.8779
11550 14 0.0408163 -4.20605
11600 16 0.0466472 -5.39534
11650 17 0.0495627 -8.16716
11700 24 0.0699708 -13.9241
11750 30 0.0874636 -21.8392
11800 19 0.0553936 -10.1721
11850 17 0.0495627 -5.91522
11900 20 0.058309 -12.5195
11950 14 0.0408163 -4.78585
12000 16 0.0466472 -9.29085
12050 15 0.0437318 -10.2287
12100 17 0.0495627 -6.65675
12150 19 0.0553936 -11.7994
12200 19 0.0553936 -7.48257
12250 21 0.0612245 -9.93286
12300 17 0.0495627 -6.69219
12350 15 0.0437318 -5.40313
12400 13 0.0379009 -4.81908
12450 15 0.0437318 -4.92449
12500 14 0.0408163 -6.83372
12550 15 0.0437318 -5.99405
12600 13 0.0379009 -4.48031
12650 12 0.0349854 -2.91581
12700 18 0.0524781 -5.03794
12750 20 0.058309 -5.44896
12800 22 0.0641399 -10.2085
12850 22 0.0641399 -12.878
12900 24 0.0699708 -12.6955
12950 22 0.0641399 -6.93224
13000 23 0.0670554 -8.46771
13050 14 0.0408163 -5.66054
13100 20 0.058309 -5.55872
13150 15 0.0437318 -3.44828
13200 14 0.0408163 -4.30339
13250 8 0.0233236 -1.21935
13300 9 0.0262391 -0.58338
13350 9 0.0262391 -0.821346
13400 12 0.0349854 -3.81286
13450 18 0.0524781 -6.36389
13500 16 0.0466472 -4.8153
13550 16 0.0466472 -5.4528
13600 20 0.058309 -12.5531
13650 20 0.058309 -8.18317
13700 23 0.0670554 -12.3433
13750 23 0.0670554 -9.29549
13800 23 0.0670554 -12.6266
13850 16 0.0466472 -5.91863
13900 19 0.0553936 -5.06882
13950 19 0.0553936 -7.29659
14000 25 0.0728863 -16.8957
14050 32 0.0932945 -25.4202
14100 28 0.0816327 -19.1236
14150 23 0.0670554 -16.4677
14200 19 0.0553936 -8.44104
14250 22 0.0641399 -12.3266
14300 23 0.0670554 -12.9123
14350 26 0.0758017 -15.8801
14400 28 0.0816327 -17.1144
14450 30 0.0874636 -19.7235
14500 29 0.0845481 -17.2302
14550 26 0.0758017 -15.8618
14600 25 0.0728863 -9.51485
14650 22 0.0641399 -7.98153
14700 18 0.0524781 -7.02661
14750 30 0.0874636 -18.2499
14800 28 0.0816327 -18.9302
14850 29 0.0845481 -26.5062
14900 35 0.102041 -34.6618
14950 40 0.116618 -44.0349
15000 41 0.119534 -31.5055
15050 40 0.116618 -32.3382
15100 37 0.107872 -27.7505
15150 33 0.0962099 -24.7214
15200 27 0.0787172 -17.9602
15250 25 0.0728863 -13.5783
15300 25 0.0728863 -15.0168
15350 19 0.0553936 -10.1104
15400 18 0.0524781 -8.16516
15450 22 0.0641399 -9.80808
15500 18 0.0524781 -10.4872
15550 21 0.0612245 -14.5865
15600 20 0.058309 -14.6591
15650 20 0.058309 -8.7857
15700 20 0.058309 -7.11764
15750 18 0.0524781 -5.4997
15800 18 0.0524781 -5.12551
15850 19 0.0553936 -3.42997
15900 17 0.0495627 -2.64762
15950 16 0.0466472 -3.66879
16000 17 0.0495627 -6.08485
16050 20 0.058309 -8.77761
16100 20 0.058309 -8.43661
16150 14 0.0408163 -2.96728
16200 20 0.058309 -8.90208
16250 23 0.0670554 -10.0751
16300 27 0.0787172 -13.432
16350 32 0.0932945 -20.0149
16400 28 0.0816327 -15.2501
16450 25 0.0728863 -16.4945
16500 27 0.0787172 -13.2137
16550 25 0.0728863 -11.6174
16600 27 0.0787172 -17.4309
16650 25 0.0728863 -16.8171
16700 27 0.0787172 -18.0774
16750 32 0.0932945 -20.1149
16800 35 0.102041 -25.1399
16850 31 0.090379 -22.1375
16900 30 0.0874636 -17.0176
16950 22 0.0641399 -9.52812
17000 25 0.0728863 -13.4837
17050 15 0.0437318 -6.32902
17100 15 0.0437318 -7.11288
17150 19 0.0553936 -8.45049
17200 23 0.0670554 -11.8981
17250 17 0.0495627 -6.08149
17300 22 0.0641399 -12.3313
17350 22 0.0641399 -12.0318
17400 18 0.0524781 -6.42536
17450 14 0.0408163 -5.0689
17500 16 0.0466472 -6.60459
17550 11 0.03207 -4.56904
17600 23 0.0670554 -8.18823
17650 14 0.0408163 -5.10762
17700 23 0.0670554 -9.45378
17750 18 0.0524781 -8.7252
17800 19 0.0553936 -8.79671
17850 21 0.0612245 -12.5239
17900 27 0.0787172 -19.1691
17950 18 0.0524781 -10.5805
18000 19 0.0553936 -9.97927
18050 18 0.0524781 -12.4159
18100 20 0.058309 -13.886
18150 18 0.0524781 -10.6116
18200 19 0.0553936 -9.11134
18250 18 0.0524781 -7.7356
18300 23 0.0670554 -11.7441
18350 23 0.0670554 -13.7097
18400 24 0.0699708 -15.8648
18450 17 0.0495627 -8.16837
18500 21 0.0612245 -8.04183
18550 17 0.0495627 -4.62995
18600 17 0.0495627 -6.55488
18650 14 0.0408163 -3.54021
18700 23 0.0670554 -7.72246
18750 18 0.0524781 -5.8992
18800 18 0.0524781 -8.84026
18850 17 0.0495627 -7.36847
18900 25 0.0728863 -15.6213
18950 26 0.0758017 -15.5212
19000 20 0.058309 -12.0793
19050 22 0.0641399 -16.0972
19100 26 0.0758017 -16.6457
19150 19 0.0553936 -11.7667
19200 23 0.0670554 -12.9358
19250 24 0.0699708 -14.6833
19300 22 0.0641399 -14.6021
19350 20 0.058309 -10.3853
19400 18 0.0524781 -9.83798
19450 15 0.0437318 -6.31794
19500 20 0.058309 -10.4692
19550 17 0.0495627 -7.81677
19600 26 0.0758017 -12.7869
19650 21 0.0612245 -13.4777
19700 20 0.058309 -12.162
19750 17 0.0495627 -5.45009
19800 7 0.0204082 -0.23909
19850 13 0.0379009 -5.29119
19900 17 0.0495627 -7.84513
19950 18 0.0524781 -5.77506
20000 17 0.0495627 -5.34507
20050 15 0.0437318 -6.66676
20100 12 0.0349854 -4.11788
20150 10 0.0291545 -2.26252
20200 17 0.0495627 -4.56335
20250 20 0.058309 -8.02559
20300 18 0.0524781 -8.86143
20350 12 0.0349854 -3.29087
20400 17 0.0495627 -5.35089
20450 18 0.0524781 -6.44199
20500 18 0.0524781 -6.60472
20550 19 0.0553936 -9.73409
20600 17 0.0495627 -8.47805
20650 19 0.0553936 -9.19148
20700 16 0.0466472 -4.83457
20750 21 0.0612245 -9.3457
20800 15 0.0437318 -6.61975
20850 19 0.0553936 -5.74203
20900 11 0.03207 -2.0727
20950 19 0.0553936 -6.5514
21000 23 0.0670554 -9.83027
21050 25 0.0728863 -12.8534
21100 20 0.058309 -6.20194
21150 15 0.0437318 -5.64872
21200 21 0.0612245 -8.41694
21250 21 0.0612245 -7.24474
21300 16 0.0466472 -6.15997
21350 12 0.0349854 -2.70425
21400 16 0.0466472 -2.79687
21450 8 0.0233236 -1.24395
21500 11 0.03207 -2.824
21550 10 0.0291545 -1.28941
21600 13 0.0379009 -3.73123
21650 13 0.0379009 -4.86697
21700 13 0.0379009 -5.94361
21750 14 0.0408163 -3.90094
21800 15 0.0437318 -4.48283
21850 17 0.0495627 -6.5321
21900 24 0.0699708 -13.9257
21950 26 0.0758017 -13.699
22000 18 0.0524781 -3.63279
22050 17 0.0495627 -5.32535
22100 17 0.0495627 -7.27238
22150 24 0.0699708 -11.8158
22200 23 0.0670554 -13.5303
22250 18 0.0524781 -4.41259
22300 11 0.03207 -0.775502
22350 13 0.0379009 -2.53957
22400 23 0.0670554 -12.939
22450 25 0.0728863 -11.163
22500 16 0.0466472 -7.71379
22550 18 0.0524781 -12.1229
22600 22 0.0641399 -16.0523
22650 25 0.0728863 -18.3522
22700 26 0.0758017 -21.0157
22750 29 0.0845481 -22.853
22800 25 0.0728863 -18.3746
22850 24 0.0699708 -13.2975
22900 23 0.0670554 -14.5598
22950 21 0.0612245 -11.3929
23000 20 0.058309 -10.1638
23050 22 0.0641399 -5.8766
23100 17 0.0495627 -4.87585
23150 22 0.0641399 -10.7978
23200 20 0.058309 -9.45979
23250 23 0.0670554 -13.96
23300 25 0.0728863 -16.678
23350 19 0.0553936 -10.0001
23400 13 0.0379009 -8.92219
23450 24 0.0699708 -12.1554
23500 21 0.0612245 -11.0307
23550 18 0.0524781 -5.77382
23600 18 0.0524781 -6.05209
23650 19 0.0553936 -7.71922
23700 19 0.0553936 -10.7472
23750 21 0.0612245 -9.41535
23800 16 0.0466472 -3.85689
23850 12 0.0349854 -4.24004
23900 14 0.0408163 -3.33367
23950 18 0.0524781 -6.20605
24000 20 0.058309 -7.42202
24050 17 0.0495627 -3.88239
24100 19 0.0553936 -6.28658
24150 16 0.0466472 -5.36846
24200 13 0.0379009 -4.44415
24250 20 0.058309 -9.23145
24300 25 0.0728863 -12.8524
24350 26 0.0758017 -13.1294
24400 25 0.0728863 -13.6153
24450 25 0.0728863 -12.7677
24500 24 0.0699708 -16.1085
24550 19 0.0553936 -8.63838
24600 21 0.0612245 -12.5643
24650 19 0.0553936 -9.59333
24700 22 0.0641399 -10.9662
24750 22 0.0641399 -13.2907
24800 24 0.0699708 -15.7328
24850 16 0.0466472 -10.7787
24900 14 0.0408163 -7.74332
24950 25 0.0728863 -14.3098
25000 20 0.058309 -8.91947
25050 15 0.0437318 -6.82901
25100 16 0.0466472 -6.33681
25150 18 0.0524781 -9.71819
25200 20 0.058309 -12.938
25250 20 0.058309 -12.5824
25300 18 0.0524781 -8.10799
25350 19 0.0553936 -11.7129
25400 24 0.0699708 -18.6434
25450 29 0.0845481 -23.9542
25500 23 0.0670554 -14.5528
25550 19 0.0553936 -14.4057
25600 24 0.0699708 -19.4707
25650 28 0.0816327 -27.3414
25700 28 0.0816327 -29.2847
25750 29 0.0845481 -26.71
25800 31 0.090379 -25.0943
25850 31 0.090379 -23.5585
25900 28 0.0816327 -17.467
25950 24 0.0699708 -10.3536
26000 22 0.0641399 -11.8949
26050 28 0.0816327 -22.5699
26100 32 0.0932945 -18.2778
26150 24 0.0699708 -12.3633
26200 26 0.0758017 -16.7012
26250 26 0.0758017 -14.9422
26300 28 0.0816327 -14.4531
26350 28 0.0816327 -14.5733
26400 24 0.0699708 -12.5952
26450 15 0.0437318 -5.83121
26500 13 0.0379009 -5.33673
26550 14 0.0408163 -4.26675
26600 20 0.058309 -7.99729
26650 15 0.0437318 -6.1702
26700 17 0.0495627 -5.65194
26750 21 0.0612245 -10.684
26800 22 0.0641399 -11.3527
26850 29 0.0845481 -21.8654
26900 30 0.0874636 -18.1512
26950 25 0.0728863 -14.8038
27000 19 0.0553936 -8.80384
27050 18 0.0524781 -10.7318
27100 17 0.0495627 -9.38716
27150 17 0.0495627 -10.1847
27200 14 0.0408163 -3.07188
27250 9 0.0262391 -1.62205
27300 16 0.0466472 -4.07785
27350 13 0.0379009 -1.98833
27400 16 0.0466472 -3.44368
27450 18 0.0524781 -6.08848
27500 16 0.0466472 -6.26494
27550 18 0.0524781 -6.17076
27600 22 0.0641399 -10.5357
27650 16 0.0466472 -7.98895
27700 18 0.0524781 -5.75309
27750 10 0.0291545 -2.46712
27800 16 0.0466472 -7.58534
27850 14 0.0408163 -8.6077
27900 17 0.0495627 -10.7808
27950 13 0.0379009 -8.12841
28000 13 0.0379009 -9.24116
28050 12 0.0349854 -5.75778
28100 9 0.0262391 -1.72745
28150 13 0.0379009 -2.4998
28200 11 0.03207 -1.69504
28250 12 0.0349854 -1.76555
28300 12 0.0349854 -1.62079
28350 9 0.0262391 -3.14392
28400 16 0.0466472 -4.22857
28450 13 0.0379009 -2.33038
28500 8 0.0233236 -1.83514
28550 23 0.0670554 -12.849
28600 18 0.0524781 -9.04991
28650 15 0.0437318 -4.43165
28700 20 0.058309 -9.60444
28750 27 0.0787172 -10.4091
28800 16 0.0466472 -4.03733
28850 15 0.0437318 -4.11751
28900 23 0.0670554 -9.67575
28950 22 0.0641399 -10.7932
29000 18 0.0524781 -7.79268
29050 18 0.0524781 -8.93935
29100 20 0.058309 -8.66144
29150 19 0.0553936 -9.19324
29200 22 0.0641399 -15.5866
29250 29 0.0845481 -17.3707
29300 31 0.090379 -22.4222
29350 36 0.104956 -30.5497
29400 25 0.0728863 -15.7748
29450 32 0.0932945 -24.6247
29500 39 0.113703 -29.9123
29550 31 0.090379 -19.8316
29600 17 0.0495627 -7.26361
29650 20 0.058309 -7.8854
29700 22 0.0641399 -12.0907
29750 25 0.0728863 -16.2864
29800 20 0.058309 -11.7658
29850 15 0.0437318 -8.2715
29900 24 0.0699708 -13.351
29950 29 0.0845481 -19.4732
30000 26 0.0758017 -14.0422
30050 23 0.0670554 -15.019
30100 31 0.090379 -27.6563
30150 29 0.0845481 -27.1657
30200 23 0.0670554 -22.691
30250 22 0.0641399 -20.6412
30300 25 0.0728863 -17.6717
30350 21 0.0612245 -14.1427
30400 13 0.0379009 -7.45016
30450 17 0.0495627 -3.3421
30500 20 0.058309 -5.01822
30550 23 0.0670554 -7.618
30600 27 0.0787172 -14.1394
30650 25 0.0728863 -13.7589
30700 25 0.0728863 -11.647
30750 23 0.0670554 -7.76785
30800 27 0.0787172 -12.8674
30850 18 0.0524781 -6.54094
30900 18 0.0524781 -9.58178
30950 17 0.0495627 -8.08585
31000 19 0.0553936 -8.31105
31050 22 0.0641399 -13.8143
31100 27 0.0787172 -17.3632
31150 21 0.0612245 -9.47632
31200 19 0.0553936 -8.01593
31250 15 0.0437318 -4.97432
31300 17 0.0495627 -6.77951
31350 12 0.0349854 -3.13573
31400 17 0.0495627 -5.70256
31450 19 0.0553936 -7.34872
31500 17 0.0495627 -7.1988
31550 19 0.0553936 -8.87117
31600 23 0.0670554 -10.5358
31650 26 0.0758017 -17.1958
31700 13 0.0379009 -5.04143
31750 14 0.0408163 -3.87426
31800 18 0.0524781 -3.94935
31850 19 0.0553936 -4.78509
31900 30 0.0874636 -16.1288
31950 31 0.090379 -22.3221
32000 32 0.0932945 -23.8207
32050 27 0.0787172 -19.349
32100 25 0.0728863 -13.1108
32150 23 0.0670554 -11.8839
32200 22 0.0641399 -15.2904
32250 18 0.0524781 -7.6194
32300 23 0.0670554 -11.7462
32350 18 0.0524781 -7.83409
32400 17 0.0495627 -9.16795
32450 12 0.0349854 -3.89781
32500 18 0.0524781 -5.30703
32550 19 0.0553936 -6.74047
32600 20 0.058309 -8.69042
32650 19 0.0553936 -10.3566
32700 20 0.058309 -14.1881
32750 23 0.0670554 -11.9692
32800 19 0.0553936 -8.44255
32850 13 0.0379009 -2.32788
32900 17 0.0495627 -4.78716
32950 13 0.0379009 -2.72571
33000 19 0.0553936 -8.40864
33050 25 0.0728863 -10.8339
33100 26 0.0758017 -9.7805
33150 24 0.0699708 -10.2022
33200 16 0.0466472 -5.71037
33250 16 0.0466472 -6.30619
33300 13 0.0379009 -3.95439
33350 14 0.0408163 -2.10557
33400 16 0.0466472 -3.13632
33450 12 0.0349854 -1.17377
33500 13 0.0379009 -3.0359
33550 21 0.0612245 -9.93164
33600 20 0.058309 -5.76788
33650 17 0.0495627 -7.66373
33700 22 0.0641399 -8.38949
33750 21 0.0612245 -7.20586
33800 20 0.058309 -6.33251
33850 18 0.0524781 -6.31961
33900 10 0.0291545 -3.42144
33950 11 0.03207 -0.657184
34000 4 0.0116618 -0.0249765
34050 13 0.0379009 -4.22997
34100 15 0.0437318 -3.73544
34150 15 0.0437318 -4.50755
34200 15 0.0437318 -5.71032
34250 15 0.0437318 -3.75441
34300 8 0.0233236 -1.41474
34350 9 0.0262391 -2.08887
34400 10 0.0291545 -2.37482
34450 12 0.0349854 -3.71804
34500 12 0.0349854 -1.8886
34550 17 0.0495627 -4.23546
34600 14 0.0408163 -4.90123
34650 20 0.058309 -11.9248
34700 18 0.0524781 -6.34045
34750 27 0.0787172 -15.819
34800 22 0.0641399 -7.81159
34850 19 0.0553936 -4.97142
34900 19 0.0553936 -8.83882
34950 15 0.0437318 -3.16592
35000 14 0.0408163 -4.36209
35050 18 0.0524781 -9.42179
35100 18 0.0524781 -9.16707
35150 16 0.0466472 -4.00005
35200 11 0.03207 -3.12032
35250 15 0.0437318 -3.34564
35300 19 0.0553936 -11.497
35350 23 0.0670554 -14.2487
35400 26 0.0758017 -15.5518
35450 26 0.0758017 -14.3819
35500 27 0.0787172 -14.4946
35550 32 0.0932945 -23.2053
35600 31 0.090379 -15.0556
35650 24 0.0699708 -12.7942
35700 25 0.0728863 -14.2297
35750 23 0.0670554 -15.9168
35800 22 0.0641399 -14.8887
35850 23 0.0670554 -19.0661
35900 27 0.0787172 -21.6463
35950 26 0.0758017 -18.2579
36000 24 0.0699708 -14.008
36050 26 0.0758017 -14.7251
36100 19 0.0553936 -6.15846
36150 18 0.0524781 -7.31647
36200 16 0.0466472 -3.79177
36250 15 0.0437318 -4.67856
36300 13 0.0379009 -4.42216
36350 16 0.0466472 -6.59569
36400 18 0.0524781 -5.92286
36450 13 0.0379009 -4.50219
36500 19 0.0553936 -6.19328
36550 13 0.0379009 -3.60761
36600 15 0.0437318 -4.46729
36650 21 0.0612245 -13.9698
36700 21 0.0612245 -8.54382
36750 15 0.0437318 -7.25756
36800 14 0.0408163 -3.54591
36850 15 0.0437318 -7.0526
36900 9 0.0262391 -1.69358
36950 11 0.03207 -2.28146
37000 12 0.0349854 -3.58447
37050 14 0.0408163 -3.55938
37100 17 0.0495627 -5.92634
37150 22 0.0641399 -9.04324
37200 14 0.0408163 -6.87707
37250 14 0.0408163 -6.04217
37300 22 0.0641399 -11.3557
37350 24 0.0699708 -14.3928
37400 21 0.0612245 -8.11987
37450 26 0.0758017 -12.3353
37500 23 0.0670554 -10.4175
37550 27 0.0787172 -15.6832
37600 22 0.0641399 -8.39771
37650 12 0.0349854 -2.47975
37700 7 0.0204082 -1.02084
37750 7 0.0204082 -2.40247
37800 15 0.0437318 -5.68802
37850 18 0.0524781 -9.25974
37900 23 0.0670554 -13.9468
37950 25 0.0728863 -15.4068
38000 26 0.0758017 -13.6475
38050 23 0.0670554 -9.42933
38100 17 0.0495627 -5.6488
38150 13 0.0379009 -1.0465
38200 13 0.0379009 -1.69751
38250 18 0.0524781 -6.27392
38300 12 0.0349854 -1.83872
38350 26 0.0758017 -11.6931
38400 25 0.0728863 -13.5614
38450 14 0.0408163 -3.99513
38500 19 0.0553936 -11.185
38550 24 0.0699708 -10.4222
38600 19 0.0553936 -7.77548
38650 22 0.0641399 -8.03453
38700 23 0.0670554 -11.7223
38750 13 0.0379009 -2.90977
38800 15 0.0437318 -3.73436
38850 13 0.0379009 -3.06029
38900 15 0.0437318 -3.48192
38950 12 0.0349854 -3.55023
39000 15 0.0437318 -4.56597
39050 18 0.0524781 -4.58301
39100 19 0.0553936 -7.68885
39150 14 0.0408163 -4.74824
39200 16 0.0466472 -4.22105
39250 23 0.0670554 -9.28988
39300 21 0.0612245 -18.4264
39350 19 0.0553936 -16.3066
39400 19 0.0553936 -13.8496
39450 18 0.0524781 -12.1731
39500 26 0.0758017 -17.1865
39550 25 0.0728863 -15.2559
39600 23 0.0670554 -12.8538
39650 24 0.0699708 -9.09602
39700 21 0.0612245 -10.1116
39750 14 0.0408163 -4.58597
39800 17 0.0495627 -3.32506
39850 11 0.03207 -2.08984
39900 20 0.058309 -7.72614
39950 18 0.0524781 -8.86953
40000 26 0.0758017 -16.0825
40050 22 0.0641399 -11.0443
40100 30 0.0874636 -17.3485
40150 31 0.090379 -18.0567
40200 28 0.0816327 -16.4163
40250 18 0.0524781 -6.50008
40300 8 0.0233236 -2.11065
40350 10 0.0291545 -2.31324
40400 11 0.03207 -1.44164
40450 16 0.0466472 -5.88739
40500 24 0.0699708 -10.4439
40550 27 0.0787172 -14.8618
40600 20 0.058309 -11.3829
40650 23 0.0670554 -11.5157
40700 19 0.0553936 -7.61094
40750 17 0.0495627 -5.83712
40800 19 0.0553936 -4.65627
40850 16 0.0466472 -5.91979
40900 22 0.0641399 -14.3967
40950 16 0.0466472 -3.8987
41000 15 0.0437318 -3.15342
41050 14 0.0408163 -1.57722
41100 10 0.0291545 -1.78397
41150 18 0.0524781 -7.50408
41200 19 0.0553936 -11.399
41250 21 0.0612245 -8.89578
41300 24 0.0699708 -14.0912
41350 28 0.0816327 -16.3711
41400 26 0.0758017 -20.1793
41450 23 0.0670554 -20.1218
