# step   N   rho   U
0 173 0.504373 -520.102
50 173 0.504373 -527.222
100 174 0.507289 -527.171
150 174 0.507289 -526.489
200 174 0.507289 -530.621
250 174 0.507289 -515.171
300 174 0.507289 -524.536
350 177 0.516035 -527.789
400 174 0.507289 -516.022
450 175 0.510204 -511.887
500 173 0.504373 -506.102
550 174 0.507289 -506.13
600 173 0.504373 -502.655
650 173 0.504373 -501.58
700 172 0.501458 -506.099
750 173 0.504373 -501.553
800 173 0.504373 -499.866
850 173 0.504373 -497.406
900 175 0.510204 -498.106
950 174 0.507289 -495.739
1000 172 0.501458 -496.676
1050 174 0.507289 -499.636
1100 172 0.501458 -498.566
1150 173 0.504373 -500.187
1200 175 0.510204 -503.586
1250 176 0.51312 -514.867
1300 175 0.510204 -509.196
1350 174 0.507289 -515.168
1400 175 0.510204 -524.614
1450 173 0.504373 -518.05
1500 175 0.510204 -523.382
1550 173 0.504373 -520.363
1600 173 0.504373 -516.725
1650 173 0.504373 -517.604
1700 174 0.507289 -523.487
1750 175 0.510204 -530.895
1800 174 0.507289 -529.218
1850 174 0.507289 -531.738
1900 175 0.510204 -531.836
1950 173 0.504373 -519.252
2000 169 0.492711 -502.93
2050 169 0.492711 -503.474
2100 169 0.492711 -501.109
2150 172 0.501458 -505.742
2200 174 0.507289 -499.151
2250 174 0.507289 -505.015
2300 173 0.504373 -496.324
2350 173 0.504373 -498.061
2400 173 0.504373 -496.192
2450 178 0.51895 -516.017
2500 178 0.51895 -516.462
2550 177 0.516035 -528.337
2600 177 0.516035 -526.432
2650 177 0.516035 -527.352
2700 175 0.510204 -525.504
2750 176 0.51312 -535.669
2800 178 0.51895 -540.163
2850 178 0.51895 -533.48
2900 177 0.516035 -523.558
2950 176 0.51312 -508.228
3000 172 0.501458 -492.107
3050 174 0.507289 -499.338
3100 175 0.510204 -509.279
3150 176 0.51312 -517.462
3200 176 0.51312 -523.237
3250 174 0.507289 -511.299
3300 174 0.507289 -512.765
3350 172 0.501458 -500.816
3400 170 0.495627 -487.204
3450 170 0.495627 -480.74
3500 173 0.504373 -479.015
3550 172 0.501458 -479.656
3600 171 0.498542 -485.194
3650 172 0.501458 -491.549
3700 170 0.495627 -480.947
3750 173 0.504373 -495.193
3800 172 0.501458 -486.909
3850 169 0.492711 -482.377
3900 171 0.498542 -490.531
