# step   N   rho   U
0 23 0.0670554 -14.6156
50 22 0.0641399 -10.1682
100 15 0.0437318 -10.4747
150 21 0.0612245 -13.9921
200 24 0.0699708 -17.7436
250 28 0.0816327 -23.7192
300 19 0.0553936 -11.8231
350 17 0.0495627 -6.19935
400 12 0.0349854 -2.97421
450 12 0.0349854 -2.53994
500 12 0.0349854 -4.76293
550 19 0.0553936 -10.2052
600 19 0.0553936 -9.21944
650 24 0.0699708 -17.4034
700 29 0.0845481 -18.7842
750 24 0.0699708 -14.717
800 19 0.0553936 -10.2274
850 24 0.0699708 -12.5962
900 16 0.0466472 -3.8565
950 14 0.0408163 -2.22854
1000 17 0.0495627 -5.15536
1050 21 0.0612245 -14.2821
1100 22 0.0641399 -13.4594
1150 22 0.0641399 -10.4631
1200 15 0.0437318 -7.71125
1250 17 0.0495627 -5.78996
1300 17 0.0495627 -5.41626
1350 15 0.0437318 -5.2809
1400 20 0.058309 -6.34202
1450 20 0.058309 -8.6749
1500 18 0.0524781 -8.06603
1550 21 0.0612245 -10.1614
1600 21 0.0612245 -13.548
1650 22 0.0641399 -13.4166
1700 25 0.0728863 -19.9055
1750 24 0.0699708 -19.886
1800 26 0.0758017 -16.1242
1850 21 0.0612245 -8.85056
1900 22 0.0641399 -10.2587
1950 18 0.0524781 -5.98291
2000 19 0.0553936 -6.33525
2050 18 0.0524781 -3.96571
2100 16 0.0466472 -5.4524
2150 19 0.0553936 -4.80157
2200 22 0.0641399 -5.53286
2250 17 0.0495627 -6.90663
2300 19 0.0553936 -7.50058
2350 20 0.058309 -6.67626
2400 17 0.0495627 -6.54974
2450 19 0.0553936 -7.05559
2500 27 0.0787172 -18.8946
2550 28 0.0816327 -20.1683
2600 31 0.090379 -17.7609
2650 28 0.0816327 -19.9168
2700 20 0.058309 -8.76195
2750 21 0.0612245 -10.3942
2800 18 0.0524781 -6.16828
2850 12 0.0349854 -2.50981
2900 15 0.0437318 -3.10562
2950 7 0.0204082 -0.0790843
3000 16 0.0466472 -5.53686
3050 9 0.0262391 -1.94244
3100 8 0.0233236 -1.47345
3150 18 0.0524781 -6.19644
3200 16 0.0466472 -6.04661
3250 18 0.0524781 -7.19977
3300 17 0.0495627 -7.50291
3350 21 0.0612245 -10.391
3400 24 0.0699708 -11.3602
3450 15 0.0437318 -5.11742
3500 16 0.0466472 -6.71376
3550 11 0.03207 -3.96467
3600 19 0.0553936 -8.06404
3650 20 0.058309 -9.88509
3700 22 0.0641399 -9.62493
3750 20 0.058309 -9.55327
3800 17 0.0495627 -6.51473
3850 14 0.0408163 -3.3229
3900 14 0.0408163 -4.81025
3950 21 0.0612245 -7.33173
4000 18 0.0524781 -10.3479
4050 15 0.0437318 -5.73954
4100 13 0.0379009 -5.16011
4150 16 0.0466472 -6.84264
4200 23 0.0670554 -9.81829
4250 19 0.0553936 -11.8279
4300 27 0.0787172 -19.7843
4350 23 0.0670554 -12.1727
4400 27 0.0787172 -16.2799
4450 26 0.0758017 -14.9502
4500 21 0.0612245 -11.669
4550 18 0.0524781 -6.23407
4600 21 0.0612245 -13.9311
4650 21 0.0612245 -11.3797
4700 18 0.0524781 -8.14048
4750 24 0.0699708 -10.5408
4800 18 0.0524781 -7.74374
4850 18 0.0524781 -10.1651
4900 17 0.0495627 -9.48545
4950 22 0.0641399 -12.4557
5000 23 0.0670554 -12.98
5050 24 0.0699708 -17.429
5100 28 0.0816327 -22.4861
5150 29 0.0845481 -24.0284
5200 26 0.0758017 -23.4037
5250 28 0.0816327 -26.4472
5300 23 0.0670554 -15.9666
5350 19 0.0553936 -12.4175
5400 18 0.0524781 -8.97629
5450 24 0.0699708 -12.0532
5500 23 0.0670554 -10.2584
5550 21 0.0612245 -8.48452
5600 24 0.0699708 -10.1253
5650 13 0.0379009 -3.77769
5700 24 0.0699708 -10.3771
5750 19 0.0553936 -4.28174
5800 19 0.0553936 -5.56202
5850 29 0.0845481 -20.217
5900 23 0.0670554 -15.0018
5950 21 0.0612245 -10.0769
6000 21 0.0612245 -7.72213
6050 25 0.0728863 -9.90273
6100 31 0.090379 -13.7885
6150 22 0.0641399 -10.6113
6200 27 0.0787172 -15.4379
6250 26 0.0758017 -14.1646
6300 24 0.0699708 -12.8555
6350 25 0.0728863 -12.3525
6400 21 0.0612245 -8.67196
6450 12 0.0349854 -2.73987
6500 10 0.0291545 -2.73449
6550 10 0.0291545 -3.30501
6600 11 0.03207 -2.07885
6650 12 0.0349854 -4.44915
6700 14 0.0408163 -4.93954
6750 15 0.0437318 -5.09179
6800 13 0.0379009 -3.12182
6850 9 0.0262391 -1.4807
6900 13 0.0379009 -5.30456
6950 19 0.0553936 -7.68439
7000 8 0.0233236 -0.488451
7050 8 0.0233236 -1.14493
7100 10 0.0291545 -0.970085
7150 11 0.03207 -1.59889
7200 11 0.03207 -3.67371
7250 14 0.0408163 -4.4489
7300 18 0.0524781 -3.07162
7350 19 0.0553936 -6.92849
