# Step  P_inst  U_inst
0 0.00397607 -16.2045
200 0.00360162 -23.4858
400 0.00376512 -21.5128
600 0.00384145 -24.9514
800 0.00382707 -15.6054
1000 0.0037336 -17.2012
1200 0.00370114 -20.3616
1400 0.00380421 -16.5027
1600 0.00368989 -13.888
1800 0.00365642 -17.0946
2000 0.0037169 -16.5383
2200 0.00396409 -14.1246
2400 0.00372638 -14.2955
2600 0.00380511 -17.139
2800 0.00402248 -16.7019
3000 0.00368242 -13.163
3200 0.00402688 -12.8677
3400 0.0036911 -15.5064
3600 0.00390649 -16.4066
3800 0.00399044 -16.6489
4000 0.00383163 -13.9243
4200 0.00394061 -13.4265
4400 0.00399901 -19.377
4600 0.0036073 -21.4891
4800 0.00375056 -16.2026
5000 0.00406319 -15.6917
5200 0.00398454 -15.2674
5400 0.00379414 -17.5945
5600 0.00382283 -23.1176
5800 0.00377493 -22.1917
6000 0.00388121 -17.8689
6200 0.00398192 -12.3438
6400 0.00365685 -13.856
6600 0.00399045 -9.33897
6800 0.00368521 -17.4406
7000 0.00405568 -18.7265
7200 0.00373318 -13.4777
7400 0.00403578 -13.8995
7600 0.00371389 -16.8915
7800 0.00374963 -11.576
8000 0.0037667 -14.2972
8200 0.00387905 -17.7311
8400 0.00367225 -13.7075
8600 0.00372894 -20.3864
8800 0.00372881 -19.2517
9000 0.00398338 -16.8573
9200 0.00372485 -10.0384
9400 0.00408725 -12.0659
9600 0.00370999 -9.38527
9800 0.0036591 -13.862
10000 0.00403829 -14.4536
10200 0.00376661 -17.89
10400 0.00401362 -17.9748
10600 0.00381222 -14.0309
10800 0.00386387 -11.5077
11000 0.00380261 -12.0497
11200 0.00369157 -13.4853
11400 0.00409472 -11.9345
11600 0.00372771 -15.088
11800 0.00376337 -12.6875
12000 0.00393871 -12.6219
12200 0.00372207 -14.8311
12400 0.00398394 -13.6856
12600 0.0038117 -14.5561
12800 0.00392014 -19.2923
13000 0.00381618 -14.3857
13200 0.00369957 -17.7721
13400 0.00387102 -14.874
13600 0.00385122 -13.0206
13800 0.00361696 -14.5353
