# Step  P_inst  U_inst
0 0.0173704 -49.8858
200 0.017844 -36.1199
400 0.0169624 -41.8765
600 0.0204236 -44.4778
800 0.0170424 -40.8738
1000 0.0170085 -42.8279
1200 0.0179805 -40.4139
1400 0.0187977 -42.6372
1600 0.0186079 -43.5441
1800 0.0184918 -44.5635
2000 0.0168362 -48.296
2200 0.0176681 -49.3968
2400 0.0184656 -49.5677
2600 0.0180191 -40.5955
2800 0.0172942 -43.2497
3000 0.0163978 -45.5525
3200 0.0173088 -53.4941
3400 0.0185978 -52.3143
3600 0.0169298 -53.379
3800 0.0169295 -47.238
4000 0.0171572 -41.1901
4200 0.0174737 -50.4593
4400 0.0176355 -57.1426
4600 0.0161519 -48.0969
4800 0.0182032 -47.3741
5000 0.0180257 -45.7251
5200 0.017017 -45.0561
5400 0.0181666 -46.6992
5600 0.0178135 -47.7212
5800 0.0195526 -38.7417
6000 0.0205627 -46.6228
6200 0.0174369 -45.0475
6400 0.0173316 -41.2952
6600 0.016811 -38.49
6800 0.0181895 -45.9551
7000 0.0171053 -47.0494
7200 0.0175991 -44.6235
7400 0.0165395 -48.3069
7600 0.0173821 -51.1476
7800 0.0165691 -45.0275
8000 0.0182941 -43.0405
8200 0.0176926 -42.5402
8400 0.0182401 -45.4843
8600 0.0216891 -44.3206
8800 0.0204552 -49.5095
9000 0.0178484 -51.0904
9200 0.0210197 -48.8715
9400 0.0170877 -49.7955
9600 0.0173911 -49.0906
9800 0.0175528 -41.416
10000 0.0163503 -52.3111
10200 0.0162502 -47.6164
10400 0.017744 -49.3563
10600 0.017894 -51.1934
10800 0.0160883 -49.9048
11000 0.0167775 -48.8661
11200 0.0183777 -52.9275
11400 0.0180436 -47.9869
11600 0.0207173 -45.297
11800 0.0177995 -56.6727
12000 0.0207761 -44.7977
12200 0.0212723 -44.1452
12400 0.0194274 -44.3268
12600 0.0180722 -49.4133
12800 0.0179212 -52.2989
13000 0.0165507 -56.8289
13200 0.0169798 -45.2552
13400 0.0181341 -39.0838
13600 0.0171189 -54.0038
13800 0.0175592 -50.8681
14000 0.0186411 -47.0154
14200 0.0178846 -45.6956
14400 0.0197679 -46.4411
14600 0.0182881 -39.8649
14800 0.0171758 -40.1079
15000 0.0172146 -46.7181
