# Step  P_inst  U_inst
0 0.264139 -1389.98
100 -0.0889087 -1404.31
200 0.0581611 -1392.77
300 0.315662 -1390.3
400 -0.0043137 -1398.73
500 -0.269897 -1414.72
600 -0.27748 -1418.6
700 -0.16773 -1410.82
800 -0.00770396 -1401.81
900 0.277223 -1383.05
1000 0.0676406 -1394.73
1100 0.158957 -1389.08
1200 0.185286 -1391.49
1300 0.0452636 -1398.68
1400 0.00661173 -1398.73
1500 0.0968802 -1393.9
1600 0.0330746 -1397.51
1700 0.257473 -1387.71
1800 -0.33487 -1414.94
1900 0.661506 -1360.68
2000 0.284389 -1380.28
2100 0.10901 -1398.29
2200 0.114251 -1397.86
2300 0.1892 -1383.65
2400 -0.236206 -1407.43
2500 0.314905 -1381.68
2600 0.356654 -1382.73
2700 -0.312083 -1422.78
2800 -0.050905 -1395.34
2900 0.264354 -1388.3
3000 0.117072 -1390.14
3100 0.793509 -1356.17
3200 0.714371 -1364.52
3300 0.618546 -1366.82
3400 0.419692 -1372.93
3500 0.260342 -1380.38
3600 0.207424 -1394.42
3700 0.354699 -1378.65
3800 0.13241 -1392.1
3900 0.0896417 -1390.87
4000 -0.111533 -1407.28
4100 0.244806 -1377.64
4200 -0.195658 -1412.14
4300 0.0136077 -1398.08
4400 0.11849 -1389.9
4500 0.0899294 -1386.19
4600 0.289339 -1387.37
4700 0.397683 -1371.13
4800 0.321948 -1377.99
4900 -0.12742 -1404.94
5000 0.040131 -1403.73
5100 -0.0353872 -1403.08
5200 -0.310892 -1409.78
5300 0.212542 -1383.94
5400 0.121303 -1390.22
5500 0.0649155 -1395.97
5600 0.0495183 -1392.79
5700 -0.126524 -1402.04
5800 0.534497 -1368.59
5900 -0.183019 -1407.29
6000 0.0973676 -1381.79
6100 0.344923 -1372.47
6200 -0.0854214 -1404.44
6300 0.24981 -1379.52
6400 -0.00442035 -1393.4
6500 0.23173 -1382.01
6600 -0.0893361 -1398.51
6700 0.348609 -1366.33
6800 0.260425 -1391.11
6900 0.422116 -1371.61
7000 0.101391 -1389.18
7100 0.0018599 -1394.21
7200 0.554551 -1372.08
7300 0.794091 -1359.76
7400 0.0933849 -1392.84
7500 0.304424 -1387.01
7600 -0.0100969 -1398.86
7700 0.502578 -1364.32
7800 0.393562 -1386.04
7900 0.0952549 -1389.82
8000 0.137238 -1386.96
8100 0.530588 -1375.12
8200 0.377778 -1378.2
8300 0.548363 -1369.15
8400 0.176607 -1387
8500 -0.00981798 -1399.73
8600 -0.000160566 -1404.78
8700 0.389928 -1376.7
8800 0.182582 -1393
8900 0.180531 -1379.28
9000 0.342371 -1376.79
9100 0.0766375 -1388.71
9200 0.249699 -1389.92
9300 0.143949 -1395.52
9400 0.774317 -1354.88
9500 0.427353 -1380.24
9600 0.371044 -1385.62
9700 0.513194 -1382.33
9800 0.0297105 -1392.14
9900 0.509154 -1373.46
10000 0.264356 -1388.16
10100 0.0761429 -1401.93
10200 -0.236272 -1421
10300 -0.238905 -1416.17
10400 -0.134745 -1407
10500 0.252884 -1382.72
10600 0.0965498 -1393.53
10700 0.0455612 -1396.38
10800 0.124833 -1395.14
10900 0.331535 -1385.23
11000 0.326861 -1374.05
11100 0.159634 -1386.06
11200 0.459548 -1370.15
11300 -0.0897741 -1396.17
11400 0.169611 -1381.41
11500 0.0847003 -1402.07
11600 -0.0576469 -1416.54
11700 0.128121 -1391.86
11800 0.255064 -1382.62
11900 0.243516 -1378.3
12000 0.288183 -1379.36
12100 0.0673053 -1392.64
12200 0.381224 -1382.19
12300 0.419175 -1380.61
12400 -0.0737265 -1398.9
12500 0.251506 -1387.97
12600 0.465262 -1374.88
12700 -0.176036 -1402.02
12800 -0.100416 -1402.69
12900 0.273033 -1382.91
13000 -0.0252674 -1404.68
13100 0.11032 -1389.65
13200 0.405757 -1379.53
13300 -0.0784846 -1409.32
13400 -0.323644 -1415.08
13500 0.203572 -1383.72
13600 0.139371 -1388.55
13700 0.38772 -1379.28
13800 -0.0401746 -1401.22
13900 -0.06177 -1406.12
14000 0.31713 -1377.08
14100 0.177307 -1387.38
14200 -0.0601082 -1395.46
14300 0.347298 -1380.36
14400 0.481491 -1367.32
14500 0.0896407 -1395.16
14600 0.229398 -1384.86
14700 0.116848 -1399.13
14800 0.137108 -1387.76
14900 0.0233531 -1394
15000 0.384303 -1379.19
15100 0.185806 -1395.72
15200 0.639652 -1361.56
15300 0.0726068 -1383.87
15400 -0.255337 -1418.54
15500 -0.0353771 -1402.01
15600 0.515103 -1369.78
15700 0.466753 -1373.77
15800 0.174573 -1389.01
15900 0.0104924 -1403.6
16000 0.0955094 -1396.95
16100 0.385924 -1377.44
16200 0.207563 -1384.89
16300 -0.0461479 -1401.4
16400 0.452373 -1376.94
16500 0.0236111 -1405.34
16600 0.15425 -1392.03
16700 0.743456 -1370.88
16800 0.491451 -1380.3
16900 0.0768976 -1394.8
17000 0.191416 -1385.89
17100 0.333572 -1380.74
17200 0.175187 -1391.89
17300 0.0444973 -1398.2
17400 -0.344215 -1412.75
17500 -0.0966386 -1414.88
17600 -0.00437223 -1396.43
17700 -0.384134 -1417.12
17800 0.20287 -1392.45
17900 0.183177 -1402.19
18000 0.643438 -1368.83
18100 0.316119 -1379.45
18200 0.316336 -1382.85
18300 0.133686 -1388.34
18400 0.0219035 -1397.35
18500 0.103913 -1387.57
18600 0.20646 -1392.85
18700 -0.0175265 -1396.63
18800 0.123571 -1393.64
18900 0.660733 -1359.93
19000 0.0875918 -1397.4
19100 0.454446 -1381.58
19200 -0.0926471 -1400.21
19300 -0.000800279 -1400.93
19400 0.27639 -1383.63
19500 -0.136848 -1408.58
19600 0.15112 -1381.75
19700 -0.196592 -1400.62
19800 0.172563 -1383.32
19900 0.604197 -1368.7
20000 0.13643 -1387.75
20100 -0.284216 -1417.56
20200 0.0583614 -1388.8
20300 0.00583006 -1394.42
20400 -0.00993571 -1391.67
20500 0.15808 -1389.33
20600 -0.357508 -1409.49
20700 0.315023 -1383.82
20800 0.131808 -1396.18
20900 -0.338607 -1412.59
21000 0.372435 -1376.24
21100 -0.0766587 -1409.85
21200 -0.0587294 -1390.22
21300 -0.0219387 -1398.21
21400 -0.0526024 -1394.68
21500 0.0861546 -1395.02
21600 0.21133 -1394.94
21700 0.0705309 -1400.73
21800 0.668585 -1364.16
21900 -0.42333 -1430.69
22000 -0.454795 -1422.31
22100 0.364903 -1390.05
22200 0.515092 -1376.07
22300 0.454618 -1374.41
22400 0.688132 -1366.64
22500 -0.112229 -1400.18
22600 0.436971 -1374.51
22700 -0.00750785 -1394.22
22800 0.420492 -1375.28
22900 0.0747121 -1398.49
23000 -0.170219 -1411.16
23100 -0.29142 -1415.15
23200 0.171346 -1393.34
23300 0.0083106 -1405.08
23400 -0.385509 -1416.91
23500 -0.191684 -1410.37
23600 -0.0634582 -1399.78
23700 -0.203866 -1408.77
23800 0.240151 -1388.98
23900 -0.241234 -1406.83
24000 0.144352 -1393.05
24100 0.335948 -1388.61
24200 0.196663 -1398.96
24300 0.274172 -1389.34
24400 0.369758 -1380.58
24500 -0.0887733 -1407.82
24600 -0.148813 -1404.73
24700 0.0705202 -1395.05
24800 0.580915 -1376.15
24900 -0.178457 -1404.17
25000 0.192272 -1381.51
25100 0.314513 -1394.77
25200 0.225173 -1386.42
25300 0.20139 -1386.9
25400 -0.132647 -1405.54
25500 0.625153 -1367.1
25600 0.308671 -1385.01
25700 0.000681922 -1389.02
25800 0.28499 -1382.93
25900 -0.0933194 -1404.27
26000 -0.0627716 -1403.75
26100 0.419456 -1372.47
26200 0.317335 -1382.97
26300 0.0789281 -1396.87
26400 -0.0635852 -1398.56
26500 0.0419921 -1400.37
26600 0.323021 -1378.6
26700 0.282983 -1379.83
26800 -0.0516415 -1397.28
26900 -0.0490812 -1405.55
27000 0.237856 -1381.9
27100 0.14852 -1396.97
27200 0.0229287 -1397.75
27300 0.393614 -1377.73
27400 -0.0216603 -1403.67
27500 0.254119 -1391.23
27600 0.113062 -1391.73
27700 0.116717 -1398.11
27800 0.100077 -1396.14
27900 -0.131526 -1412.11
28000 0.336229 -1383.72
28100 -0.0226156 -1407.59
28200 0.756308 -1357.27
28300 0.0939617 -1393.65
28400 0.0882775 -1399.5
28500 0.0555087 -1397.45
28600 0.199089 -1387.27
28700 -0.0403585 -1397.88
28800 0.184751 -1388.12
28900 0.0126201 -1392.7
29000 0.528823 -1366.37
29100 0.290811 -1383.91
29200 0.362454 -1377.5
29300 0.177183 -1387.17
29400 0.570091 -1372.84
29500 -0.0572607 -1399.66
29600 0.631691 -1362.08
29700 0.357784 -1383.04
29800 -0.0622015 -1399.58
29900 0.0614969 -1389.3
30000 0.520923 -1370.26
30100 0.451605 -1369.21
30200 0.302116 -1380.19
30300 -0.186295 -1408.55
30400 0.348917 -1384.36
30500 0.391828 -1381.32
30600 0.377935 -1385.28
30700 -0.256922 -1404.1
