# step   N   rho   U
0 31 0.090379 -24.3739
50 31 0.090379 -28.141
100 34 0.0991254 -32.261
150 38 0.110787 -35.4868
200 37 0.107872 -37.9542
250 40 0.116618 -40.7659
300 42 0.122449 -40.7855
350 33 0.0962099 -23.0708
400 23 0.0670554 -13.5295
450 24 0.0699708 -11.4047
500 27 0.0787172 -16.1574
550 20 0.058309 -9.53513
600 24 0.0699708 -17.6647
650 17 0.0495627 -8.32317
700 14 0.0408163 -6.34181
750 19 0.0553936 -8.10846
800 23 0.0670554 -10.8647
850 24 0.0699708 -13.9641
900 16 0.0466472 -7.06876
950 19 0.0553936 -6.62747
1000 21 0.0612245 -7.23221
1050 17 0.0495627 -5.78141
1100 14 0.0408163 -3.00643
1150 14 0.0408163 -7.43379
1200 14 0.0408163 -5.12048
1250 24 0.0699708 -8.60829
1300 19 0.0553936 -9.43182
1350 21 0.0612245 -12.6811
1400 27 0.0787172 -17.3126
1450 23 0.0670554 -13
1500 25 0.0728863 -9.29272
1550 24 0.0699708 -11.0644
1600 27 0.0787172 -16.6999
1650 15 0.0437318 -6.5711
1700 9 0.0262391 -2.83975
1750 13 0.0379009 -3.31045
1800 16 0.0466472 -2.3079
1850 12 0.0349854 -2.40521
1900 13 0.0379009 -3.865
1950 14 0.0408163 -6.38004
2000 18 0.0524781 -6.02767
2050 17 0.0495627 -4.81798
2100 17 0.0495627 -5.57613
2150 19 0.0553936 -5.32968
2200 24 0.0699708 -11.4129
2250 21 0.0612245 -5.82673
2300 17 0.0495627 -7.30732
2350 13 0.0379009 -4.05471
2400 16 0.0466472 -5.75134
2450 12 0.0349854 -3.35011
2500 19 0.0553936 -8.02127
2550 20 0.058309 -4.64424
2600 21 0.0612245 -10.2654
2650 22 0.0641399 -9.16879
2700 27 0.0787172 -17.436
2750 30 0.0874636 -17.0673
2800 19 0.0553936 -8.06991
2850 20 0.058309 -9.20517
2900 26 0.0758017 -15.8054
2950 17 0.0495627 -10.2145
3000 20 0.058309 -8.21836
3050 12 0.0349854 -2.08447
3100 22 0.0641399 -10.0504
3150 21 0.0612245 -15.7174
3200 21 0.0612245 -18.8758
3250 25 0.0728863 -21.0062
3300 23 0.0670554 -10.2718
3350 19 0.0553936 -7.12232
3400 17 0.0495627 -4.22802
3450 18 0.0524781 -5.39895
3500 14 0.0408163 -3.38055
3550 21 0.0612245 -10.1711
3600 16 0.0466472 -3.77773
3650 10 0.0291545 -1.24782
3700 12 0.0349854 -2.17773
3750 18 0.0524781 -4.25176
3800 20 0.058309 -9.16385
3850 17 0.0495627 -5.33615
3900 14 0.0408163 -7.131
3950 13 0.0379009 -2.80227
4000 18 0.0524781 -6.46969
4050 13 0.0379009 -4.11427
4100 16 0.0466472 -4.82403
4150 11 0.03207 -2.98459
4200 17 0.0495627 -7.60084
4250 21 0.0612245 -8.67822
4300 13 0.0379009 -6.26326
4350 20 0.058309 -10.6246
4400 21 0.0612245 -12.6935
4450 16 0.0466472 -5.93076
4500 23 0.0670554 -11.3362
4550 19 0.0553936 -9.87905
4600 23 0.0670554 -12.0343
4650 17 0.0495627 -6.44947
4700 22 0.0641399 -9.35163
4750 30 0.0874636 -15.1421
4800 34 0.0991254 -22.1188
4850 31 0.090379 -20.9101
4900 28 0.0816327 -19.6158
4950 24 0.0699708 -15.4574
5000 22 0.0641399 -10.612
5050 16 0.0466472 -6.7134
5100 17 0.0495627 -3.10565
5150 21 0.0612245 -7.70672
5200 18 0.0524781 -7.87163
5250 14 0.0408163 -6.11904
5300 17 0.0495627 -6.49646
5350 18 0.0524781 -9.03362
5400 19 0.0553936 -7.36305
5450 11 0.03207 -3.91914
5500 12 0.0349854 -2.709
5550 14 0.0408163 -2.44518
5600 17 0.0495627 -7.13403
5650 22 0.0641399 -9.33662
5700 14 0.0408163 -3.67437
5750 14 0.0408163 -4.3062
5800 13 0.0379009 -3.98639
5850 19 0.0553936 -6.41296
5900 18 0.0524781 -3.98274
5950 16 0.0466472 -10.2858
6000 12 0.0349854 -3.01966
6050 16 0.0466472 -5.26813
6100 16 0.0466472 -6.39975
6150 16 0.0466472 -7.50401
6200 16 0.0466472 -4.15931
6250 21 0.0612245 -8.57056
6300 16 0.0466472 -3.68561
6350 13 0.0379009 -3.43034
6400 15 0.0437318 -3.54716
6450 12 0.0349854 -1.04874
6500 11 0.03207 -2.07549
6550 11 0.03207 -1.48811
6600 11 0.03207 -2.04355
6650 11 0.03207 -1.73516
6700 11 0.03207 -1.97124
6750 13 0.0379009 -3.70282
6800 19 0.0553936 -5.35297
6850 17 0.0495627 -8.86905
6900 22 0.0641399 -11.9031
6950 24 0.0699708 -13.9507
7000 28 0.0816327 -17.8305
7050 21 0.0612245 -14.0979
7100 25 0.0728863 -17.5197
7150 20 0.058309 -10.0559
7200 23 0.0670554 -11.9338
7250 9 0.0262391 -0.609762
7300 13 0.0379009 -4.35666
7350 15 0.0437318 -3.75108
7400 11 0.03207 -3.13634
7450 10 0.0291545 -2.88665
7500 18 0.0524781 -8.73924
7550 19 0.0553936 -5.84798
7600 20 0.058309 -7.80348
7650 26 0.0758017 -13.3733
7700 26 0.0758017 -14.3417
7750 24 0.0699708 -15.4049
7800 24 0.0699708 -15.8746
7850 19 0.0553936 -11.7973
7900 18 0.0524781 -10.4721
7950 16 0.0466472 -6.61751
8000 19 0.0553936 -12.5651
8050 19 0.0553936 -14.8618
8100 22 0.0641399 -15.5228
8150 21 0.0612245 -16.6106
8200 27 0.0787172 -23.2141
8250 27 0.0787172 -21.7245
8300 29 0.0845481 -22.2924
8350 31 0.090379 -22.6055
8400 29 0.0845481 -17.5686
8450 20 0.058309 -12.7292
8500 20 0.058309 -11.0561
8550 24 0.0699708 -15.3264
8600 26 0.0758017 -10.8818
8650 17 0.0495627 -7.74126
8700 14 0.0408163 -7.16009
8750 16 0.0466472 -6.04379
8800 11 0.03207 -2.75777
8850 14 0.0408163 -4.99363
8900 21 0.0612245 -10.8814
8950 23 0.0670554 -13.2225
9000 20 0.058309 -9.69509
9050 22 0.0641399 -7.17174
9100 17 0.0495627 -4.35325
9150 15 0.0437318 -4.11112
9200 18 0.0524781 -9.34562
9250 16 0.0466472 -6.30196
9300 16 0.0466472 -7.02601
9350 16 0.0466472 -5.00086
9400 11 0.03207 -1.79754
9450 9 0.0262391 -0.493822
9500 13 0.0379009 -3.31787
9550 25 0.0728863 -13.3957
9600 25 0.0728863 -14.9814
9650 23 0.0670554 -12.9884
9700 25 0.0728863 -15.2418
9750 19 0.0553936 -9.33744
9800 27 0.0787172 -14.7968
9850 26 0.0758017 -14.2894
9900 20 0.058309 -13.2948
9950 13 0.0379009 -6.9772
10000 8 0.0233236 -0.570182
10050 12 0.0349854 -1.98397
10100 17 0.0495627 -3.34465
10150 17 0.0495627 -3.55224
10200 24 0.0699708 -14.0171
10250 22 0.0641399 -13.3191
10300 22 0.0641399 -11.0393
10350 21 0.0612245 -10.0119
10400 22 0.0641399 -7.69859
10450 22 0.0641399 -8.88184
10500 17 0.0495627 -5.43673
10550 15 0.0437318 -5.61817
10600 16 0.0466472 -5.19748
10650 18 0.0524781 -2.10502
10700 17 0.0495627 -5.42126
10750 21 0.0612245 -4.88551
10800 13 0.0379009 -2.03427
10850 10 0.0291545 -2.49579
10900 11 0.03207 -3.07245
10950 11 0.03207 -2.81473
11000 13 0.0379009 -3.20146
11050 15 0.0437318 -2.94039
11100 10 0.0291545 -1.66209
11150 6 0.0174927 -0.0561971
11200 12 0.0349854 -2.03114
11250 13 0.0379009 -3.59568
11300 13 0.0379009 -3.19112
11350 16 0.0466472 -7.33987
11400 15 0.0437318 -5.56607
11450 11 0.03207 -2.52987
11500 18 0.0524781 -6.65181
11550 21 0.0612245 -5.75948
11600 13 0.0379009 -3.1466
11650 20 0.058309 -11.6295
11700 21 0.0612245 -7.99895
11750 20 0.058309 -10.5626
11800 24 0.0699708 -13.6664
11850 26 0.0758017 -16.3271
11900 24 0.0699708 -15.3187
11950 26 0.0758017 -19.3749
12000 23 0.0670554 -17.6814
12050 23 0.0670554 -18.5892
12100 22 0.0641399 -17.1348
12150 22 0.0641399 -12.6016
12200 14 0.0408163 -4.9232
12250 27 0.0787172 -16.3263
12300 29 0.0845481 -17.8621
12350 20 0.058309 -11.769
12400 25 0.0728863 -13.8881
12450 26 0.0758017 -13.3988
12500 18 0.0524781 -7.07005
12550 21 0.0612245 -10.7575
12600 15 0.0437318 -5.99009
12650 23 0.0670554 -10.6333
12700 18 0.0524781 -8.52221
12750 19 0.0553936 -12.2913
12800 16 0.0466472 -9.17597
12850 18 0.0524781 -10.3886
12900 16 0.0466472 -4.85623
12950 20 0.058309 -7.60003
13000 18 0.0524781 -9.02683
13050 20 0.058309 -7.56649
13100 21 0.0612245 -9.34141
13150 21 0.0612245 -11.1525
13200 26 0.0758017 -19.9587
13250 26 0.0758017 -19.9637
13300 30 0.0874636 -23.9715
13350 27 0.0787172 -19.6482
13400 26 0.0758017 -19.5534
13450 23 0.0670554 -12.2084
13500 26 0.0758017 -14.6959
13550 25 0.0728863 -13.0122
13600 28 0.0816327 -18.4082
13650 27 0.0787172 -16.7564
13700 30 0.0874636 -22.3871
13750 27 0.0787172 -20.4945
13800 26 0.0758017 -14.1906
13850 24 0.0699708 -15.8714
13900 23 0.0670554 -13.1324
13950 28 0.0816327 -17.8879
14000 31 0.090379 -24.542
14050 28 0.0816327 -23.9685
14100 28 0.0816327 -16.2411
14150 26 0.0758017 -13.7158
14200 28 0.0816327 -14.4183
14250 25 0.0728863 -18.4392
14300 23 0.0670554 -14.759
14350 18 0.0524781 -10.6304
14400 20 0.058309 -11.2063
14450 9 0.0262391 -4.8363
14500 17 0.0495627 -7.45159
14550 10 0.0291545 -4.24477
14600 15 0.0437318 -5.79058
14650 18 0.0524781 -8.01032
14700 25 0.0728863 -10.6914
14750 25 0.0728863 -9.2035
14800 22 0.0641399 -10.6718
14850 26 0.0758017 -13.9718
14900 27 0.0787172 -14.8169
14950 28 0.0816327 -17.5638
15000 32 0.0932945 -23.1542
15050 31 0.090379 -21.1538
15100 32 0.0932945 -20.9654
15150 22 0.0641399 -14.2511
15200 19 0.0553936 -11.9196
15250 15 0.0437318 -7.2822
15300 18 0.0524781 -2.40865
15350 23 0.0670554 -7.52537
15400 21 0.0612245 -9.51254
15450 21 0.0612245 -12.6744
15500 21 0.0612245 -14.0828
15550 18 0.0524781 -7.27897
15600 17 0.0495627 -7.83395
15650 23 0.0670554 -13.8065
15700 22 0.0641399 -11.2692
15750 20 0.058309 -7.48779
15800 11 0.03207 -2.36798
15850 18 0.0524781 -7.7723
15900 17 0.0495627 -5.16708
15950 12 0.0349854 -2.01246
16000 16 0.0466472 -6.22988
16050 16 0.0466472 -6.83695
16100 22 0.0641399 -11.7902
16150 32 0.0932945 -20.8195
16200 33 0.0962099 -16.373
16250 29 0.0845481 -18.1395
