# step   N   rho   U
0 25 0.0728863 -11.3713
50 21 0.0612245 -12.2932
100 16 0.0466472 -5.1469
150 12 0.0349854 -4.7412
200 15 0.0437318 -6.57414
250 13 0.0379009 -2.48197
300 16 0.0466472 -7.00772
350 23 0.0670554 -10.5353
400 23 0.0670554 -14.1656
450 23 0.0670554 -14.3648
500 26 0.0758017 -20.4549
550 32 0.0932945 -27.3443
600 29 0.0845481 -24.5464
650 26 0.0758017 -18.8352
700 18 0.0524781 -10.8042
750 22 0.0641399 -11.0311
800 23 0.0670554 -12.4579
850 19 0.0553936 -6.51981
900 19 0.0553936 -7.5683
950 19 0.0553936 -9.32813
1000 11 0.03207 -2.9803
1050 16 0.0466472 -5.72596
1100 11 0.03207 -3.98831
1150 24 0.0699708 -14.6259
1200 27 0.0787172 -17.221
1250 24 0.0699708 -13.2674
1300 20 0.058309 -11.4766
1350 21 0.0612245 -11.4289
1400 20 0.058309 -15.1488
1450 26 0.0758017 -23.6076
1500 29 0.0845481 -29.7009
1550 22 0.0641399 -27.1807
1600 26 0.0758017 -30.0143
1650 29 0.0845481 -27.9228
1700 29 0.0845481 -27.9643
1750 33 0.0962099 -35.814
1800 33 0.0962099 -33.7315
1850 31 0.090379 -30.9588
1900 34 0.0991254 -33.5585
1950 31 0.090379 -29.4395
2000 29 0.0845481 -30.2248
2050 23 0.0670554 -22.8765
2100 33 0.0962099 -28.393
2150 28 0.0816327 -16.4094
2200 26 0.0758017 -16.8363
2250 32 0.0932945 -25.2272
2300 32 0.0932945 -29.3493
2350 29 0.0845481 -21.9611
2400 25 0.0728863 -17.4193
2450 23 0.0670554 -18.7757
2500 22 0.0641399 -17.8348
2550 24 0.0699708 -18.3981
2600 29 0.0845481 -24.2362
2650 25 0.0728863 -15.5419
2700 28 0.0816327 -20.1247
2750 29 0.0845481 -18.7938
2800 25 0.0728863 -16.2787
2850 27 0.0787172 -20.9315
2900 30 0.0874636 -21.6959
2950 29 0.0845481 -22.4852
3000 31 0.090379 -25.9836
3050 30 0.0874636 -17.8908
3100 28 0.0816327 -20.0678
3150 31 0.090379 -21.7053
3200 32 0.0932945 -21.2479
3250 28 0.0816327 -18.7171
3300 24 0.0699708 -13.1854
3350 18 0.0524781 -10.8903
3400 21 0.0612245 -10.5783
3450 19 0.0553936 -6.18862
3500 19 0.0553936 -6.45004
3550 13 0.0379009 -4.30274
3600 17 0.0495627 -6.72045
3650 21 0.0612245 -7.05793
3700 28 0.0816327 -8.6429
3750 16 0.0466472 -6.52128
3800 20 0.058309 -11.5054
3850 22 0.0641399 -10.6575
3900 19 0.0553936 -7.74694
3950 25 0.0728863 -16.0692
4000 28 0.0816327 -19.0304
4050 19 0.0553936 -13.8477
4100 21 0.0612245 -15.0689
4150 17 0.0495627 -13.278
4200 24 0.0699708 -19.9266
4250 29 0.0845481 -21.5652
4300 31 0.090379 -27.6181
4350 28 0.0816327 -22.8385
4400 31 0.090379 -30.4638
4450 31 0.090379 -22.7609
4500 27 0.0787172 -19.9981
4550 24 0.0699708 -16.1116
4600 27 0.0787172 -23.3534
4650 22 0.0641399 -16.719
4700 25 0.0728863 -17.4043
4750 29 0.0845481 -23.6619
4800 29 0.0845481 -23.7816
4850 28 0.0816327 -23.32
4900 22 0.0641399 -19.3207
4950 26 0.0758017 -22.4473
5000 30 0.0874636 -25.0029
5050 24 0.0699708 -11.0301
5100 27 0.0787172 -15.1136
5150 34 0.0991254 -19.9568
5200 25 0.0728863 -8.38939
5250 25 0.0728863 -14.7639
5300 22 0.0641399 -7.17439
5350 17 0.0495627 -11.1251
5400 28 0.0816327 -15.121
5450 26 0.0758017 -13.2797
5500 23 0.0670554 -15.6753
5550 14 0.0408163 -5.7618
5600 16 0.0466472 -7.4325
5650 17 0.0495627 -8.19741
5700 11 0.03207 -3.19721
5750 12 0.0349854 -3.91372
5800 12 0.0349854 -1.77495
5850 18 0.0524781 -5.07432
5900 20 0.058309 -8.28168
5950 19 0.0553936 -8.43482
6000 20 0.058309 -6.20439
6050 21 0.0612245 -10.0119
6100 18 0.0524781 -7.55274
6150 12 0.0349854 -2.22112
6200 10 0.0291545 -1.78176
6250 17 0.0495627 -4.71028
6300 18 0.0524781 -5.37386
6350 27 0.0787172 -12.8316
6400 22 0.0641399 -9.59699
6450 19 0.0553936 -3.95202
6500 21 0.0612245 -8.3806
6550 17 0.0495627 -3.53162
6600 9 0.0262391 -1.953
6650 11 0.03207 -1.80737
6700 9 0.0262391 0.0496605
6750 7 0.0204082 -0.0866397
6800 10 0.0291545 -2.95974
6850 20 0.058309 -2.49551
6900 18 0.0524781 -9.80063
6950 19 0.0553936 -9.02415
7000 23 0.0670554 -10.6225
7050 23 0.0670554 -11.0896
7100 17 0.0495627 -6.98818
7150 14 0.0408163 -4.44982
7200 17 0.0495627 -5.75944
7250 20 0.058309 -7.60074
7300 16 0.0466472 -5.9152
7350 15 0.0437318 -6.58518
7400 16 0.0466472 -6.08904
7450 21 0.0612245 -10.0584
7500 14 0.0408163 -5.79544
7550 15 0.0437318 -3.17699
7600 20 0.058309 -7.44804
7650 21 0.0612245 -14.2108
7700 16 0.0466472 -9.45755
7750 18 0.0524781 -7.99711
7800 19 0.0553936 -8.49099
7850 22 0.0641399 -7.94541
7900 16 0.0466472 -5.16217
7950 23 0.0670554 -11.608
8000 23 0.0670554 -12.1654
8050 18 0.0524781 -8.28206
8100 18 0.0524781 -7.2227
8150 20 0.058309 -8.19389
8200 17 0.0495627 -6.21844
8250 13 0.0379009 -2.98259
8300 13 0.0379009 -2.51009
8350 8 0.0233236 -1.5412
8400 16 0.0466472 -5.92043
8450 15 0.0437318 -5.34878
8500 11 0.03207 -1.76791
8550 9 0.0262391 -1.46518
8600 9 0.0262391 -2.22596
8650 15 0.0437318 -5.2409
8700 16 0.0466472 -5.85692
8750 16 0.0466472 -8.03545
8800 20 0.058309 -10.0521
8850 15 0.0437318 -4.64893
8900 20 0.058309 -8.29029
8950 18 0.0524781 -4.7446
9000 18 0.0524781 -6.92658
9050 15 0.0437318 -6.56144
9100 14 0.0408163 -3.9869
9150 22 0.0641399 -9.40546
9200 21 0.0612245 -8.24759
9250 26 0.0758017 -14.6076
9300 18 0.0524781 -8.05118
9350 18 0.0524781 -5.37115
9400 8 0.0233236 -0.47504
9450 10 0.0291545 -1.45026
9500 17 0.0495627 -5.87831
9550 15 0.0437318 -3.96009
9600 22 0.0641399 -13.6683
9650 24 0.0699708 -18.2794
9700 21 0.0612245 -14.6862
9750 19 0.0553936 -21.5166
9800 24 0.0699708 -22.2542
9850 23 0.0670554 -19.8432
9900 25 0.0728863 -22.8974
9950 29 0.0845481 -27.3879
10000 30 0.0874636 -22.0224
10050 24 0.0699708 -19.7902
10100 26 0.0758017 -25.4672
10150 26 0.0758017 -26.6883
10200 28 0.0816327 -24.628
10250 25 0.0728863 -16.9401
10300 23 0.0670554 -14.8414
10350 21 0.0612245 -8.1216
10400 20 0.058309 -8.41161
10450 18 0.0524781 -7.83518
10500 19 0.0553936 -5.42764
10550 16 0.0466472 -2.855
10600 14 0.0408163 -1.3008
10650 16 0.0466472 -6.76056
10700 21 0.0612245 -12.1952
10750 17 0.0495627 -7.28508
10800 18 0.0524781 -5.18719
10850 20 0.058309 -5.94819
10900 17 0.0495627 -5.23833
10950 17 0.0495627 -6.23425
11000 11 0.03207 -3.1895
11050 15 0.0437318 -5.54649
11100 17 0.0495627 -7.94248
11150 27 0.0787172 -16.2572
11200 24 0.0699708 -12.5537
11250 24 0.0699708 -16.0939
11300 23 0.0670554 -9.40295
11350 24 0.0699708 -10.9256
11400 18 0.0524781 -6.22389
11450 19 0.0553936 -7.21356
11500 20 0.058309 -7.21467
11550 14 0.0408163 -4.36869
11600 10 0.0291545 -1.40255
11650 12 0.0349854 -0.791209
11700 13 0.0379009 -1.53683
11750 9 0.0262391 -0.869786
11800 14 0.0408163 -3.68708
11850 12 0.0349854 -3.82109
11900 18 0.0524781 -4.359
11950 25 0.0728863 -9.57424
12000 23 0.0670554 -11.9296
12050 25 0.0728863 -13.1709
12100 29 0.0845481 -17.0921
12150 25 0.0728863 -15.8459
12200 25 0.0728863 -10.8165
12250 26 0.0758017 -13.072
12300 24 0.0699708 -11.1319
12350 29 0.0845481 -21.4005
12400 29 0.0845481 -20.0872
12450 31 0.090379 -22.0175
12500 31 0.090379 -23.1876
12550 30 0.0874636 -17.6279
12600 26 0.0758017 -14.779
12650 25 0.0728863 -11.6915
12700 24 0.0699708 -10.1438
12750 26 0.0758017 -10.237
12800 28 0.0816327 -16.2173
12850 28 0.0816327 -14.6344
12900 31 0.090379 -19.0786
12950 23 0.0670554 -11.9224
13000 24 0.0699708 -12.036
13050 27 0.0787172 -11.8619
13100 16 0.0466472 -5.14166
13150 19 0.0553936 -9.01424
13200 21 0.0612245 -8.99009
13250 26 0.0758017 -13.6142
13300 21 0.0612245 -10.928
13350 19 0.0553936 -8.21452
13400 23 0.0670554 -13.3239
13450 32 0.0932945 -22.8441
13500 23 0.0670554 -9.8994
13550 22 0.0641399 -12.0597
13600 28 0.0816327 -17.8178
13650 27 0.0787172 -13.1014
13700 30 0.0874636 -17.0248
13750 22 0.0641399 -11.4854
13800 21 0.0612245 -13.035
13850 28 0.0816327 -19.7319
13900 22 0.0641399 -16.6516
13950 26 0.0758017 -23.8701
14000 20 0.058309 -14.3546
14050 26 0.0758017 -16.5106
14100 28 0.0816327 -17.5956
14150 26 0.0758017 -14.5402
14200 23 0.0670554 -10.4063
14250 14 0.0408163 -3.12041
14300 13 0.0379009 -2.84692
14350 15 0.0437318 -3.93264
14400 21 0.0612245 -8.25818
14450 20 0.058309 -10.7721
14500 27 0.0787172 -14.2862
14550 23 0.0670554 -12.2397
14600 21 0.0612245 -9.90996
14650 17 0.0495627 -5.43579
14700 17 0.0495627 -4.69717
14750 8 0.0233236 -0.721772
14800 14 0.0408163 -4.75235
14850 16 0.0466472 -6.7217
14900 16 0.0466472 -5.12128
14950 17 0.0495627 -5.76748
15000 18 0.0524781 -5.20968
15050 13 0.0379009 -2.57972
15100 16 0.0466472 -2.95004
15150 10 0.0291545 -2.36557
15200 12 0.0349854 -3.26906
15250 17 0.0495627 -10.35
15300 26 0.0758017 -18.2767
15350 18 0.0524781 -10.0144
15400 16 0.0466472 -6.59421
15450 13 0.0379009 -5.01463
15500 20 0.058309 -7.28981
15550 15 0.0437318 -5.29439
15600 14 0.0408163 -5.23558
15650 18 0.0524781 -7.726
15700 16 0.0466472 -3.0635
15750 20 0.058309 -9.93596
15800 15 0.0437318 -5.32809
15850 15 0.0437318 -8.61907
15900 20 0.058309 -10.5689
15950 21 0.0612245 -7.90294
16000 22 0.0641399 -6.55179
16050 20 0.058309 -7.96444
16100 16 0.0466472 -5.74717
16150 19 0.0553936 -5.76638
16200 25 0.0728863 -13.0315
16250 28 0.0816327 -17.1956
16300 32 0.0932945 -22.281
16350 34 0.0991254 -25.0015
16400 25 0.0728863 -17.777
16450 23 0.0670554 -16.0404
16500 25 0.0728863 -16.7611
16550 22 0.0641399 -11.3441
16600 22 0.0641399 -11.7884
16650 26 0.0758017 -14.9503
16700 24 0.0699708 -13.2029
16750 24 0.0699708 -15.5357
16800 17 0.0495627 -2.47716
16850 12 0.0349854 -2.30797
16900 11 0.03207 -1.39958
16950 12 0.0349854 -4.44874
17000 18 0.0524781 -5.50451
17050 15 0.0437318 -3.41653
17100 20 0.058309 -5.24047
17150 16 0.0466472 -5.20506
17200 14 0.0408163 -2.75781
17250 16 0.0466472 -7.29527
17300 22 0.0641399 -8.5751
17350 19 0.0553936 -6.26032
17400 16 0.0466472 -5.40474
17450 11 0.03207 -4.03465
17500 10 0.0291545 -2.14826
17550 19 0.0553936 -8.76047
17600 21 0.0612245 -10.0329
17650 18 0.0524781 -9.90703
17700 9 0.0262391 -2.3255
17750 19 0.0553936 -7.83084
17800 18 0.0524781 -4.66488
17850 10 0.0291545 -0.770213
17900 11 0.03207 -1.25025
17950 6 0.0174927 -0.21915
18000 9 0.0262391 -3.33892
