# step   N   rho   U
9550 17 0.0495627 -6.95328
9600 16 0.0466472 -5.26367
9650 24 0.0699708 -9.83556
9700 16 0.0466472 -1.79766
9750 23 0.0670554 -11.1588
9800 24 0.0699708 -10.9856
9850 24 0.0699708 -10.4018
9900 17 0.0495627 -4.88369
9950 13 0.0379009 -3.37172
10000 14 0.0408163 -3.89593
10050 16 0.0466472 -5.77653
10100 17 0.0495627 -5.06721
10150 15 0.0437318 -3.97781
10200 20 0.058309 -7.42411
10250 20 0.058309 -7.83344
10300 19 0.0553936 -8.10618
10350 16 0.0466472 -5.18329
10400 20 0.058309 -5.90282
10450 9 0.0262391 -1.52422
10500 11 0.03207 -2.44762
10550 12 0.0349854 -0.747876
10600 19 0.0553936 -6.61703
10650 25 0.0728863 -10.52
10700 22 0.0641399 -13.2408
10750 19 0.0553936 -9.23241
10800 21 0.0612245 -11.4152
10850 14 0.0408163 -3.87776
10900 23 0.0670554 -10.6168
10950 28 0.0816327 -14.028
11000 20 0.058309 -8.08285
11050 19 0.0553936 -9.32927
11100 16 0.0466472 -3.88421
11150 10 0.0291545 -0.596811
11200 19 0.0553936 -6.70027
11250 16 0.0466472 -6.65516
11300 15 0.0437318 -3.38356
11350 16 0.0466472 -3.49615
11400 21 0.0612245 -6.16636
11450 18 0.0524781 -8.88552
11500 15 0.0437318 -4.54675
11550 13 0.0379009 -4.77428
11600 20 0.058309 -9.20207
11650 17 0.0495627 -9.24226
11700 17 0.0495627 -6.56343
11750 21 0.0612245 -9.9302
11800 23 0.0670554 -8.86856
11850 19 0.0553936 -8.31023
11900 21 0.0612245 -10.7545
11950 22 0.0641399 -10.1148
12000 23 0.0670554 -9.96174
12050 21 0.0612245 -8.76841
12100 23 0.0670554 -13.0305
12150 30 0.0874636 -21.916
12200 29 0.0845481 -18.6368
12250 26 0.0758017 -17.1482
12300 27 0.0787172 -20.6079
12350 26 0.0758017 -13.7711
12400 32 0.0932945 -18.8502
12450 18 0.0524781 -6.52382
12500 10 0.0291545 -2.12468
12550 13 0.0379009 -3.18144
